UNITID,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW
100654,1,999,"R",5513,"R",2480,"R",3033,"R",7,"R",3,"R",4,"R",14,"R",9,"R",5,"R",5043,"R",2306,"R",2737,"R",34,"R",7,"R",27,"R",2,"R",0,"R",2,"R",302,"R",108,"R",194,"R",0,"R",0,"R",0,"R",70,"R",20,"R",50,"R",41,"R",27,"R",14
100654,2,  1,"R",4468,"R",2165,"R",2303,"R",5,"R",2,"R",3,"R",4,"R",3,"R",1,"R",4262,"R",2072,"R",2190,"R",24,"R",5,"R",19,"R",1,"R",0,"R",1,"R",122,"R",65,"R",57,"R",0,"R",0,"R",0,"R",41,"R",15,"R",26,"R",9,"R",3,"R",6
100654,4,  3,"R",1045,"R",315,"R",730,"R",2,"R",1,"R",1,"R",10,"R",6,"R",4,"R",781,"R",234,"R",547,"R",10,"R",2,"R",8,"R",1,"R",0,"R",1,"R",180,"R",43,"R",137,"R",0,"R",0,"R",0,"R",29,"R",5,"R",24,"R",32,"R",24,"R",8
100663,1,999,"R",21196,"R",8299,"R",12897,"R",54,"R",22,"R",32,"R",930,"R",402,"R",528,"R",4729,"R",1369,"R",3360,"R",520,"R",200,"R",320,"R",18,"R",7,"R",11,"R",13413,"R",5520,"R",7893,"R",524,"R",188,"R",336,"R",332,"R",176,"R",156,"R",676,"R",415,"R",261
100663,2,  1,"R",13108,"R",5473,"R",7635,"R",35,"R",16,"R",19,"R",590,"R",274,"R",316,"R",3555,"R",1108,"R",2447,"R",320,"R",131,"R",189,"R",11,"R",4,"R",7,"R",7727,"R",3527,"R",4200,"R",382,"R",139,"R",243,"R",261,"R",136,"R",125,"R",227,"R",138,"R",89
100663,4,  3,"R",8088,"R",2826,"R",5262,"R",19,"R",6,"R",13,"R",340,"R",128,"R",212,"R",1174,"R",261,"R",913,"R",200,"R",69,"R",131,"R",7,"R",3,"R",4,"R",5686,"R",1993,"R",3693,"R",142,"R",49,"R",93,"R",71,"R",40,"R",31,"R",449,"R",277,"R",172
100690,1,999,"R",1016,"R",464,"R",552,"Z",0,"Z",0,"Z",0,"R",7,"R",3,"R",4,"R",367,"R",122,"R",245,"R",10,"R",8,"R",2,"Z",0,"Z",0,"Z",0,"R",317,"R",184,"R",133,"Z",0,"Z",0,"Z",0,"R",315,"R",147,"R",168,"Z",0,"Z",0,"Z",0
100690,2,  1,"R",484,"R",228,"R",256,"Z",0,"Z",0,"Z",0,"R",4,"R",1,"R",3,"R",178,"R",62,"R",116,"R",6,"R",5,"R",1,"Z",0,"Z",0,"Z",0,"R",147,"R",78,"R",69,"Z",0,"Z",0,"Z",0,"R",149,"R",82,"R",67,"Z",0,"Z",0,"Z",0
100690,4,  3,"R",532,"R",236,"R",296,"Z",0,"Z",0,"Z",0,"R",3,"R",2,"R",1,"R",189,"R",60,"R",129,"R",4,"R",3,"R",1,"Z",0,"Z",0,"Z",0,"R",170,"R",106,"R",64,"Z",0,"Z",0,"Z",0,"R",166,"R",65,"R",101,"Z",0,"Z",0,"Z",0
100706,1,999,"R",8728,"R",4801,"R",3927,"R",124,"R",64,"R",60,"R",314,"R",155,"R",159,"R",1073,"R",409,"R",664,"R",250,"R",134,"R",116,"R",1,"R",1,"Z",0,"R",6083,"R",3511,"R",2572,"R",113,"R",56,"R",57,"R",301,"R",160,"R",141,"R",469,"R",311,"R",158
100706,2,  1,"R",6695,"R",3614,"R",3081,"R",95,"R",51,"R",44,"R",239,"R",117,"R",122,"R",911,"R",339,"R",572,"R",223,"R",119,"R",104,"R",1,"R",1,"Z",0,"R",4657,"R",2664,"R",1993,"R",99,"R",48,"R",51,"R",238,"R",120,"R",118,"R",232,"R",155,"R",77
100706,4,  3,"R",2033,"R",1187,"R",846,"R",29,"R",13,"R",16,"R",75,"R",38,"R",37,"R",162,"R",70,"R",92,"R",27,"R",15,"R",12,"Z",0,"Z",0,"Z",0,"R",1426,"R",847,"R",579,"R",14,"R",8,"R",6,"R",63,"R",40,"R",23,"R",237,"R",156,"R",81
100724,1,999,"R",6782,"R",2673,"R",4109,"R",7,"R",4,"R",3,"R",8,"R",2,"R",6,"R",6316,"R",2480,"R",3836,"R",62,"R",33,"R",29,"R",3,"R",0,"R",3,"R",201,"R",78,"R",123,"R",25,"R",10,"R",15,"R",111,"R",43,"R",68,"R",49,"R",23,"R",26
100724,2,  1,"R",5906,"R",2416,"R",3490,"R",4,"R",3,"R",1,"R",3,"R",0,"R",3,"R",5596,"R",2286,"R",3310,"R",54,"R",31,"R",23,"R",3,"R",0,"R",3,"R",79,"R",28,"R",51,"R",21,"R",9,"R",12,"R",104,"R",38,"R",66,"R",42,"R",21,"R",21
100724,4,  3,"R",876,"R",257,"R",619,"R",3,"R",1,"R",2,"R",5,"R",2,"R",3,"R",720,"R",194,"R",526,"R",8,"R",2,"R",6,"R",0,"R",0,"R",0,"R",122,"R",50,"R",72,"R",4,"R",1,"R",3,"R",7,"R",5,"R",2,"R",7,"R",2,"R",5
100751,1,999,"R",37220,"R",16885,"R",20335,"R",164,"R",83,"R",81,"R",440,"R",230,"R",210,"R",4643,"R",1587,"R",3056,"R",1032,"R",429,"R",603,"R",32,"R",12,"R",20,"R",28297,"R",13125,"R",15172,"R",614,"R",271,"R",343,"R",180,"R",82,"R",98,"R",1818,"R",1066,"R",752
100751,2,  1,"R",30700,"R",14292,"R",16408,"R",131,"R",65,"R",66,"R",345,"R",180,"R",165,"R",3764,"R",1397,"R",2367,"R",872,"R",370,"R",502,"R",25,"R",11,"R",14,"R",23674,"R",11234,"R",12440,"R",514,"R",235,"R",279,"R",111,"R",44,"R",67,"R",1264,"R",756,"R",508
100751,4,  3,"R",6520,"R",2593,"R",3927,"R",33,"R",18,"R",15,"R",95,"R",50,"R",45,"R",879,"R",190,"R",689,"R",160,"R",59,"R",101,"R",7,"R",1,"R",6,"R",4623,"R",1891,"R",2732,"R",100,"R",36,"R",64,"R",69,"R",38,"R",31,"R",554,"R",310,"R",244
100760,1,999,"R",2733,"R",943,"R",1790,"R",9,"R",6,"R",3,"R",8,"R",3,"R",5,"R",836,"R",215,"R",621,"R",30,"R",13,"R",17,"R",0,"R",0,"R",0,"R",1810,"R",689,"R",1121,"R",1,"R",1,"R",0,"R",36,"R",15,"R",21,"R",3,"R",1,"R",2
100760,2,  1,"R",2733,"R",943,"R",1790,"R",9,"R",6,"R",3,"R",8,"R",3,"R",5,"R",836,"R",215,"R",621,"R",30,"R",13,"R",17,"R",0,"R",0,"R",0,"R",1810,"R",689,"R",1121,"R",1,"R",1,"R",0,"R",36,"R",15,"R",21,"R",3,"R",1,"R",2
100812,1,999,"R",4700,"R",1671,"R",3029,"R",67,"R",14,"R",53,"R",27,"R",6,"R",21,"R",627,"R",195,"R",432,"R",79,"R",32,"R",47,"R",2,"R",1,"R",1,"R",3631,"R",1330,"R",2301,"R",67,"R",14,"R",53,"R",160,"R",60,"R",100,"R",40,"R",19,"R",21
100812,2,  1,"R",4700,"R",1671,"R",3029,"R",67,"R",14,"R",53,"R",27,"R",6,"R",21,"R",627,"R",195,"R",432,"R",79,"R",32,"R",47,"R",2,"R",1,"R",1,"R",3631,"R",1330,"R",2301,"R",67,"R",14,"R",53,"R",160,"R",60,"R",100,"R",40,"R",19,"R",21
100830,1,999,"R",6173,"R",2356,"R",3817,"R",26,"R",8,"R",18,"R",285,"R",144,"R",141,"R",1784,"R",497,"R",1287,"R",71,"R",29,"R",42,"R",0,"R",0,"R",0,"R",3269,"R",1386,"R",1883,"R",0,"R",0,"R",0,"R",703,"R",276,"R",427,"R",35,"R",16,"R",19
