UNITID,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW
384236,1,999,"R",568,"R",260,"R",308,"R",2,"R",1,"R",1,"R",6,"R",1,"R",5,"R",65,"R",30,"R",35,"R",410,"R",186,"R",224,"R",3,"Z",0,"R",3,"R",61,"R",28,"R",33,"R",16,"R",11,"R",5,"R",5,"R",3,"R",2,"Z",0,"Z",0,"Z",0
384236,2,  1,"R",568,"R",260,"R",308,"R",2,"R",1,"R",1,"R",6,"R",1,"R",5,"R",65,"R",30,"R",35,"R",410,"R",186,"R",224,"R",3,"Z",0,"R",3,"R",61,"R",28,"R",33,"R",16,"R",11,"R",5,"R",5,"R",3,"R",2,"Z",0,"Z",0,"Z",0
384245,1,999,"R",1012,"R",337,"R",675,"R",2,"Z",0,"R",2,"R",45,"R",19,"R",26,"R",58,"R",29,"R",29,"R",743,"R",229,"R",514,"R",11,"R",4,"R",7,"R",134,"R",49,"R",85,"R",15,"R",7,"R",8,"R",4,"Z",0,"R",4,"Z",0,"Z",0,"Z",0
384245,2,  1,"R",1012,"R",337,"R",675,"R",2,"Z",0,"R",2,"R",45,"R",19,"R",26,"R",58,"R",29,"R",29,"R",743,"R",229,"R",514,"R",11,"R",4,"R",7,"R",134,"R",49,"R",85,"R",15,"R",7,"R",8,"R",4,"Z",0,"R",4,"Z",0,"Z",0,"Z",0
384254,1,999,"R",303,"R",182,"R",121,"R",1,"R",1,"R",0,"R",8,"R",7,"R",1,"R",44,"R",26,"R",18,"R",14,"R",8,"R",6,"R",1,"R",0,"R",1,"R",212,"R",126,"R",86,"R",13,"R",6,"R",7,"R",0,"R",0,"R",0,"R",10,"R",8,"R",2
384254,2,  1,"R",303,"R",182,"R",121,"R",1,"R",1,"R",0,"R",8,"R",7,"R",1,"R",44,"R",26,"R",18,"R",14,"R",8,"R",6,"R",1,"R",0,"R",1,"R",212,"R",126,"R",86,"R",13,"R",6,"R",7,"R",0,"R",0,"R",0,"R",10,"R",8,"R",2
384306,1,999,"R",131,"R",27,"R",104,"R",0,"R",0,"R",0,"R",12,"R",3,"R",9,"R",4,"R",1,"R",3,"R",9,"R",2,"R",7,"R",1,"R",0,"R",1,"R",80,"R",14,"R",66,"R",10,"R",2,"R",8,"R",7,"R",2,"R",5,"R",8,"R",3,"R",5
384306,4,  3,"R",131,"R",27,"R",104,"R",0,"R",0,"R",0,"R",12,"R",3,"R",9,"R",4,"R",1,"R",3,"R",9,"R",2,"R",7,"R",1,"R",0,"R",1,"R",80,"R",14,"R",66,"R",10,"R",2,"R",8,"R",7,"R",2,"R",5,"R",8,"R",3,"R",5
384333,1,999,"R",12571,"R",5172,"R",7399,"R",172,"R",60,"R",112,"R",452,"R",204,"R",248,"R",1026,"R",415,"R",611,"R",6073,"R",2384,"R",3689,"R",41,"R",17,"R",24,"R",3952,"R",1747,"R",2205,"R",313,"R",122,"R",191,"R",512,"R",215,"R",297,"R",30,"R",8,"R",22
384333,2,  1,"R",12571,"R",5172,"R",7399,"R",172,"R",60,"R",112,"R",452,"R",204,"R",248,"R",1026,"R",415,"R",611,"R",6073,"R",2384,"R",3689,"R",41,"R",17,"R",24,"R",3952,"R",1747,"R",2205,"R",313,"R",122,"R",191,"R",512,"R",215,"R",297,"R",30,"R",8,"R",22
384342,1,999,"R",8981,"R",4255,"R",4726,"R",12,"R",6,"R",6,"R",338,"R",148,"R",190,"R",1100,"R",495,"R",605,"R",630,"R",297,"R",333,"R",9,"R",4,"R",5,"R",6125,"R",2924,"R",3201,"R",319,"R",148,"R",171,"R",377,"R",206,"R",171,"R",71,"R",27,"R",44
384342,2,  1,"R",8981,"R",4255,"R",4726,"R",12,"R",6,"R",6,"R",338,"R",148,"R",190,"R",1100,"R",495,"R",605,"R",630,"R",297,"R",333,"R",9,"R",4,"R",5,"R",6125,"R",2924,"R",3201,"R",319,"R",148,"R",171,"R",377,"R",206,"R",171,"R",71,"R",27,"R",44
384412,1,999,"R",219,"R",124,"R",95,"R",4,"R",1,"R",3,"R",2,"R",1,"R",1,"R",127,"R",73,"R",54,"R",8,"R",6,"R",2,"R",1,"R",1,"Z",0,"R",36,"R",21,"R",15,"R",6,"R",4,"R",2,"R",13,"R",5,"R",8,"R",22,"R",12,"R",10
384412,2,  1,"R",202,"R",119,"R",83,"R",2,"R",1,"R",1,"R",1,"Z",0,"R",1,"R",119,"R",70,"R",49,"R",8,"R",6,"R",2,"R",1,"R",1,"Z",0,"R",32,"R",21,"R",11,"R",6,"R",4,"R",2,"R",13,"R",5,"R",8,"R",20,"R",11,"R",9
384412,4,  3,"R",17,"R",5,"R",12,"R",2,"Z",0,"R",2,"R",1,"R",1,"Z",0,"R",8,"R",3,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"R",1
384421,1,999,"R",102,"R",102,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",101,"R",101,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0
384421,2,  1,"R",102,"R",102,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",101,"R",101,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0
385008,1,999,"R",280,"R",41,"R",239,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",24,"R",3,"R",21,"R",36,"R",4,"R",32,"R",1,"R",0,"R",1,"R",27,"R",2,"R",25,"R",2,"R",0,"R",2,"R",189,"R",32,"R",157,"R",0,"R",0,"R",0
385008,2,  1,"R",280,"R",41,"R",239,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",24,"R",3,"R",21,"R",36,"R",4,"R",32,"R",1,"R",0,"R",1,"R",27,"R",2,"R",25,"R",2,"R",0,"R",2,"R",189,"R",32,"R",157,"R",0,"R",0,"R",0
