unitid,effylev,lstudy,"xfyrac01",fyrace01,"xfyrac02",fyrace02,"xfyrac03",fyrace03,"xfyrac04",fyrace04,"xfyrac05",fyrace05,"xfyrac06",fyrace06,"xfyrac07",fyrace07,"xfyrac08",fyrace08,"xfyrac09",fyrace09,"xfyrac10",fyrace10,"xfyrac11",fyrace11,"xfyrac12",fyrace12,"xfyrac13",fyrace13,"xfyrac14",fyrace14,"xfyrac15",fyrace15,"xfyrac16",fyrace16,"xfyrac17",fyrace17,"xfyrac18",fyrace18,"xfyrac19",fyrace19,"xfyrac20",fyrace20,"xfyrac21",fyrace21,"xfyrac22",fyrace22,"xfyrac23",fyrace23,"xfyrac24",fyrace24
"100654","1","999",10,"122",10,"128",10,"2515",10,"3105",10,"16",10,"15",10,"23",10,"18",10,"63",10,"42",10,"251",10,"456",13,"0",13,"0",10,"2990",10,"3764",10,"250",10,"5620",10,"31",10,"41",10,"105",10,"707",13,"0",10,"6754"
"100654","2","1",10,"85",10,"90",10,"2198",10,"2392",10,"14",10,"9",10,"12",10,"9",10,"31",10,"16",10,"114",10,"114",10,"0",10,"0",10,"2454",10,"2630",10,"175",10,"4590",10,"23",10,"21",10,"47",10,"228",13,"0",10,"5084"
"100654","4","3",10,"37",10,"38",10,"317",10,"713",10,"2",10,"6",10,"11",10,"9",10,"32",10,"26",10,"137",10,"342",10,"0",10,"0",10,"536",10,"1134",10,"75",10,"1030",10,"8",10,"20",10,"58",10,"479",13,"0",10,"1670"
"100663","1","999",10,"715",10,"400",10,"1303",10,"3213",10,"29",10,"41",10,"261",10,"341",10,"68",10,"105",10,"5059",10,"6444",10,"197",10,"208",10,"7632",10,"10752",10,"1115",10,"4516",10,"70",10,"602",10,"173",10,"11503",10,"405",10,"18384"
"100663","2","1",10,"263",10,"184",10,"1107",10,"2562",10,"21",10,"22",10,"150",10,"207",10,"47",10,"77",10,"3413",10,"4039",10,"157",10,"171",10,"5158",10,"7262",10,"447",10,"3669",10,"43",10,"357",10,"124",10,"7452",10,"328",10,"12420"
"100663","3","2",10,"5",10,"2",10,"27",10,"41",10,"3",10,"6",10,"54",10,"63",10,"9",10,"3",10,"461",10,"305",10,"4",10,"0",10,"563",10,"420",10,"7",10,"68",10,"9",10,"117",10,"12",10,"766",10,"4",10,"983"
"100663","4","3",10,"447",10,"214",10,"169",10,"610",10,"5",10,"13",10,"57",10,"71",10,"12",10,"25",10,"1185",10,"2100",10,"36",10,"37",10,"1911",10,"3070",10,"661",10,"779",10,"18",10,"128",10,"37",10,"3285",10,"73",10,"4981"
"100690","1","999",13,"0",13,"0",10,"111",10,"86",13,"0",13,"0",10,"8",10,"6",10,"19",10,"18",10,"282",10,"158",10,"19",10,"13",10,"439",10,"281",13,"0",10,"197",13,"0",10,"14",10,"37",10,"440",10,"32",10,"720"
"100690","2","1",13,"0",13,"0",10,"53",10,"42",13,"0",13,"0",10,"3",10,"1",10,"17",10,"18",10,"133",10,"72",10,"13",10,"9",10,"219",10,"142",13,"0",10,"95",13,"0",10,"4",10,"35",10,"205",10,"22",10,"361"
"100690","3","2",13,"0",13,"0",10,"21",10,"11",13,"0",13,"0",10,"1",10,"1",10,"1",13,"0",10,"25",10,"6",10,"1",10,"4",10,"49",10,"22",13,"0",10,"32",13,"0",10,"2",10,"1",10,"31",10,"5",10,"71"
"100690","4","3",13,"0",13,"0",10,"37",10,"33",13,"0",13,"0",10,"4",10,"4",10,"1",13,"0",10,"124",10,"80",10,"5",13,"0",10,"171",10,"117",13,"0",10,"70",13,"0",10,"8",10,"1",10,"204",10,"5",10,"288"
"100706","1","999",10,"419",10,"211",10,"380",10,"705",10,"76",10,"64",10,"182",10,"236",10,"87",10,"104",10,"3227",10,"2927",10,"64",10,"47",10,"4435",10,"4294",10,"630",10,"1085",10,"140",10,"418",10,"191",10,"6154",10,"111",10,"8729"
"100706","2","1",10,"183",10,"121",10,"337",10,"623",10,"70",10,"55",10,"147",10,"113",10,"74",10,"92",10,"2554",10,"2402",10,"63",10,"42",10,"3428",10,"3448",10,"304",10,"960",10,"125",10,"260",10,"166",10,"4956",10,"105",10,"6876"
"100706","4","3",10,"236",10,"90",10,"43",10,"82",10,"6",10,"9",10,"35",10,"123",10,"13",10,"12",10,"673",10,"525",10,"1",10,"5",10,"1007",10,"846",10,"326",10,"125",10,"15",10,"158",10,"25",10,"1198",10,"6",10,"1853"
"100724","1","999",10,"10",10,"6",10,"2394",10,"3645",10,"4",10,"2",10,"7",10,"7",10,"6",10,"11",10,"239",10,"447",10,"22",10,"32",10,"2682",10,"4150",10,"16",10,"6039",10,"6",10,"14",10,"17",10,"686",10,"54",10,"6832"
"100724","2","1",10,"10",10,"6",10,"2140",10,"2940",10,"4",10,"0",10,"6",10,"3",10,"5",10,"7",10,"119",10,"142",10,"17",10,"20",10,"2301",10,"3118",10,"16",10,"5080",10,"4",10,"9",10,"12",10,"261",10,"37",10,"5419"
"100724","4","3",10,"0",10,"0",10,"254",10,"705",10,"0",10,"2",10,"1",10,"4",10,"1",10,"4",10,"120",10,"305",10,"5",10,"12",10,"381",10,"1032",13,"0",10,"959",10,"2",10,"5",10,"5",10,"425",10,"17",10,"1413"
