UNITID,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW
100654,1,999,"R",5872,"R",2628,"R",3244,"R",12,"R",3,"R",9,"R",21,"R",9,"R",12,"R",5294,"R",2394,"R",2900,"R",35,"R",10,"R",25,"R",10,"R",7,"R",3,"R",335,"R",133,"R",202,"R",0,"R",0,"R",0,"R",98,"R",36,"R",62,"R",67,"R",36,"R",31
100654,2,  1,"R",4549,"R",2223,"R",2326,"R",10,"R",2,"R",8,"R",9,"R",2,"R",7,"R",4241,"R",2068,"R",2173,"R",25,"R",8,"R",17,"R",8,"R",6,"R",2,"R",152,"R",92,"R",60,"R",0,"R",0,"R",0,"R",76,"R",31,"R",45,"R",28,"R",14,"R",14
100654,4,  3,"R",1323,"R",405,"R",918,"R",2,"R",1,"R",1,"R",12,"R",7,"R",5,"R",1053,"R",326,"R",727,"R",10,"R",2,"R",8,"R",2,"R",1,"R",1,"R",183,"R",41,"R",142,"R",0,"R",0,"R",0,"R",22,"R",5,"R",17,"R",39,"R",22,"R",17
100663,1,999,"R",21720,"R",8528,"R",13192,"R",50,"R",24,"R",26,"R",1015,"R",452,"R",563,"R",4666,"R",1456,"R",3210,"R",596,"R",226,"R",370,"R",16,"R",5,"R",11,"R",13686,"R",5524,"R",8162,"R",648,"R",250,"R",398,"R",238,"R",115,"R",123,"R",805,"R",476,"R",329
100663,2,  1,"R",13465,"R",5593,"R",7872,"R",28,"R",14,"R",14,"R",655,"R",300,"R",355,"R",3520,"R",1163,"R",2357,"R",393,"R",153,"R",240,"R",10,"R",3,"R",7,"R",7931,"R",3529,"R",4402,"R",479,"R",177,"R",302,"R",146,"R",74,"R",72,"R",303,"R",180,"R",123
100663,4,  3,"R",8255,"R",2935,"R",5320,"R",22,"R",10,"R",12,"R",360,"R",152,"R",208,"R",1146,"R",293,"R",853,"R",203,"R",73,"R",130,"R",6,"R",2,"R",4,"R",5755,"R",1995,"R",3760,"R",169,"R",73,"R",96,"R",92,"R",41,"R",51,"R",502,"R",296,"R",206
100690,1,999,"R",860,"R",368,"R",492,"R",3,"R",2,"R",1,"R",4,"R",2,"R",2,"R",390,"R",121,"R",269,"R",8,"R",4,"R",4,"R",1,"Z",0,"R",1,"R",278,"R",170,"R",108,"R",0,"Z",0,"R",0,"R",176,"R",69,"R",107,"Z",0,"Z",0,"Z",0
100690,2,  1,"R",401,"R",179,"R",222,"R",2,"R",2,"Z",0,"R",1,"Z",0,"R",1,"R",187,"R",62,"R",125,"R",5,"R",3,"R",2,"R",1,"Z",0,"R",1,"R",116,"R",72,"R",44,"R",0,"Z",0,"R",0,"R",89,"R",40,"R",49,"Z",0,"Z",0,"Z",0
100690,4,  3,"R",459,"R",189,"R",270,"R",1,"Z",0,"R",1,"R",3,"R",2,"R",1,"R",203,"R",59,"R",144,"R",3,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"R",162,"R",98,"R",64,"Z",0,"Z",0,"Z",0,"R",87,"R",29,"R",58,"Z",0,"Z",0,"Z",0
100706,1,999,"R",8588,"R",4851,"R",3737,"R",110,"R",58,"R",52,"R",326,"R",171,"R",155,"R",982,"R",408,"R",574,"R",293,"R",152,"R",141,"R",2,"R",2,"R",0,"R",5897,"R",3478,"R",2419,"R",134,"R",68,"R",66,"R",318,"R",167,"R",151,"R",526,"R",347,"R",179
