unitid,effylev,lstudy,"xfyrac01",fyrace01,"xfyrac02",fyrace02,"xfyrac03",fyrace03,"xfyrac04",fyrace04,"xfyrac05",fyrace05,"xfyrac06",fyrace06,"xfyrac07",fyrace07,"xfyrac08",fyrace08,"xfyrac09",fyrace09,"xfyrac10",fyrace10,"xfyrac11",fyrace11,"xfyrac12",fyrace12,"xfyrac13",fyrace13,"xfyrac14",fyrace14,"xfyrac15",fyrace15,"xfyrac16",fyrace16,"xfyrac17",fyrace17,"xfyrac18",fyrace18,"xfyrac19",fyrace19,"xfyrac20",fyrace20,"xfyrac21",fyrace21,"xfyrac22",fyrace22,"xfyrac23",fyrace23,"xfyrac24",fyrace24
"100654","1","999",10,"197",10,"200",10,"2828",10,"3584",10,"7",10,"11",10,"11",10,"14",10,"15",10,"15",10,"212",10,"540",10,"3",10,"1",10,"3273",10,"4365",10,"397",10,"6412",10,"18",10,"25",10,"30",10,"752",10,"4",10,"7638"
"100654","2","1",10,"102",10,"114",10,"2582",10,"2854",10,"5",10,"5",10,"6",10,"7",10,"12",10,"13",10,"93",10,"116",10,"1",10,"1",10,"2801",10,"3110",10,"216",10,"5436",10,"10",10,"13",10,"25",10,"209",10,"2",10,"5911"
"100654","4","3",10,"95",10,"86",10,"246",10,"730",10,"2",10,"6",10,"5",10,"7",10,"3",10,"2",10,"119",10,"424",10,"2",13,"0",10,"472",10,"1255",10,"181",10,"976",10,"8",10,"12",10,"5",10,"543",10,"2",10,"1727"
"100663","1","999",10,"827",10,"520",10,"1446",10,"3785",10,"43",10,"47",10,"287",10,"371",10,"73",10,"129",10,"5351",10,"7025",10,"180",10,"235",10,"8207",10,"12112",10,"1347",10,"5231",10,"90",10,"658",10,"202",10,"12376",10,"415",10,"20319"
"100663","2","1",10,"268",10,"223",10,"1248",10,"3041",10,"33",10,"32",10,"162",10,"234",10,"55",10,"89",10,"3621",10,"4324",10,"143",10,"186",10,"5530",10,"8129",10,"491",10,"4289",10,"65",10,"396",10,"144",10,"7945",10,"329",10,"13659"
"100663","3","2",10,"6",10,"1",10,"22",10,"40",10,"5",10,"3",10,"60",10,"57",10,"2",10,"5",10,"470",10,"322",10,"4",13,"0",10,"569",10,"428",10,"7",10,"62",10,"8",10,"117",10,"7",10,"792",10,"4",10,"997"
"100663","4","3",10,"553",10,"296",10,"176",10,"704",10,"5",10,"12",10,"65",10,"80",10,"16",10,"35",10,"1260",10,"2379",10,"33",10,"49",10,"2108",10,"3555",10,"849",10,"880",10,"17",10,"145",10,"51",10,"3639",10,"82",10,"5663"
"100690","1","999",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"557",10,"473",10,"557",10,"473",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1030",10,"1030"
"100690","2","1",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"274",10,"240",10,"274",10,"240",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"514",10,"514"
"100690","3","2",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"60",10,"88",10,"60",10,"88",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"148",10,"148"
