UNITID,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW
100654,1,999,"R",5557,"R",2508,"R",3049,"R",5,"R",3,"R",2,"R",20,"R",11,"R",9,"R",5074,"R",2302,"R",2772,"R",30,"R",10,"R",20,"R",2,"R",0,"R",2,"R",320,"R",128,"R",192,"R",0,"R",0,"R",0,"R",44,"R",16,"R",28,"R",62,"R",38,"R",24
100654,2,  1,"R",4582,"R",2219,"R",2363,"R",3,"R",2,"R",1,"R",7,"R",5,"R",2,"R",4358,"R",2099,"R",2259,"R",23,"R",10,"R",13,"R",1,"R",0,"R",1,"R",138,"R",79,"R",59,"R",0,"R",0,"R",0,"R",30,"R",14,"R",16,"R",22,"R",10,"R",12
100654,4,  3,"R",975,"R",289,"R",686,"R",2,"R",1,"R",1,"R",13,"R",6,"R",7,"R",716,"R",203,"R",513,"R",7,"R",0,"R",7,"R",1,"R",0,"R",1,"R",182,"R",49,"R",133,"R",0,"R",0,"R",0,"R",14,"R",2,"R",12,"R",40,"R",28,"R",12
100663,1,999,"R",20892,"R",8211,"R",12681,"R",60,"R",24,"R",36,"R",893,"R",392,"R",501,"R",4631,"R",1331,"R",3300,"R",463,"R",184,"R",279,"R",12,"R",5,"R",7,"R",13330,"R",5551,"R",7779,"R",405,"R",143,"R",262,"R",438,"R",205,"R",233,"R",660,"R",376,"R",284
100663,2,  1,"R",12962,"R",5410,"R",7552,"R",35,"R",16,"R",19,"R",559,"R",268,"R",291,"R",3519,"R",1087,"R",2432,"R",281,"R",119,"R",162,"R",8,"R",5,"R",3,"R",7699,"R",3533,"R",4166,"R",286,"R",102,"R",184,"R",353,"R",162,"R",191,"R",222,"R",118,"R",104
100663,4,  3,"R",7930,"R",2801,"R",5129,"R",25,"R",8,"R",17,"R",334,"R",124,"R",210,"R",1112,"R",244,"R",868,"R",182,"R",65,"R",117,"R",4,"R",0,"R",4,"R",5631,"R",2018,"R",3613,"R",119,"R",41,"R",78,"R",85,"R",43,"R",42,"R",438,"R",258,"R",180
100690,1,999,"R",1103,"R",502,"R",601,"Z",0,"Z",0,"Z",0,"R",5,"R",1,"R",4,"R",310,"R",114,"R",196,"R",15,"R",10,"R",5,"Z",0,"Z",0,"Z",0,"R",312,"R",203,"R",109,"Z",0,"Z",0,"Z",0,"R",461,"R",174,"R",287,"Z",0,"Z",0,"Z",0
100690,2,  1,"R",522,"R",228,"R",294,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",3,"R",125,"R",39,"R",86,"R",9,"R",7,"R",2,"Z",0,"Z",0,"Z",0,"R",115,"R",72,"R",43,"Z",0,"Z",0,"Z",0,"R",270,"R",110,"R",160,"Z",0,"Z",0,"Z",0
100690,4,  3,"R",581,"R",274,"R",307,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"R",1,"R",185,"R",75,"R",110,"R",6,"R",3,"R",3,"Z",0,"Z",0,"Z",0,"R",197,"R",131,"R",66,"Z",0,"Z",0,"Z",0,"R",191,"R",64,"R",127,"Z",0,"Z",0,"Z",0
100706,1,999,"R",9009,"R",5002,"R",4007,"R",133,"R",71,"R",62,"R",323,"R",160,"R",163,"R",1134,"R",442,"R",692,"R",219,"R",107,"R",112,"R",2,"R",1,"R",1,"R",6376,"R",3736,"R",2640,"R",109,"R",58,"R",51,"R",270,"R",139,"R",131,"R",443,"R",288,"R",155
