unitid,effylev,lstudy,"xfyrac01",fyrace01,"xfyrac02",fyrace02,"xfyrac03",fyrace03,"xfyrac04",fyrace04,"xfyrac05",fyrace05,"xfyrac06",fyrace06,"xfyrac07",fyrace07,"xfyrac08",fyrace08,"xfyrac09",fyrace09,"xfyrac10",fyrace10,"xfyrac11",fyrace11,"xfyrac12",fyrace12,"xfyrac13",fyrace13,"xfyrac14",fyrace14,"xfyrac15",fyrace15,"xfyrac16",fyrace16,"xfyrac17",fyrace17,"xfyrac18",fyrace18,"xfyrac19",fyrace19,"xfyrac20",fyrace20,"xfyrac21",fyrace21,"xfyrac22",fyrace22,"xfyrac23",fyrace23,"xfyrac24",fyrace24
"100654","1","999",10,"247",10,"242",10,"3473",10,"4536",10,"9",10,"10",10,"7",10,"19",10,"17",10,"22",10,"241",10,"626",13,"0",10,"2",10,"3994",10,"5457",10,"489",10,"8009",10,"19",10,"26",10,"39",10,"867",10,"2",10,"9451"
"100654","2","1",10,"107",10,"108",10,"3139",10,"3505",10,"7",10,"5",10,"5",10,"7",10,"13",10,"18",10,"92",10,"114",13,"0",10,"1",10,"3363",10,"3758",10,"215",10,"6644",10,"12",10,"12",10,"31",10,"206",10,"1",10,"7121"
"100654","4","3",10,"140",10,"134",10,"334",10,"1031",10,"2",10,"5",10,"2",10,"12",10,"4",10,"4",10,"149",10,"512",13,"0",10,"1",10,"631",10,"1699",10,"274",10,"1365",10,"7",10,"14",10,"8",10,"661",10,"1",10,"2330"
"100663","1","999",10,"797",10,"506",10,"1410",10,"3906",10,"37",10,"52",10,"285",10,"392",10,"86",10,"133",10,"5259",10,"7251",10,"143",10,"221",10,"8017",10,"12461",10,"1303",10,"5316",10,"89",10,"677",10,"219",10,"12510",10,"364",10,"20478"
"100663","2","1",10,"231",10,"196",10,"1211",10,"3158",10,"26",10,"32",10,"175",10,"252",10,"60",10,"88",10,"3593",10,"4549",10,"118",10,"188",10,"5414",10,"8463",10,"427",10,"4369",10,"58",10,"427",10,"148",10,"8142",10,"306",10,"13877"
"100663","3","2",10,"2",13,"0",10,"22",10,"46",10,"4",10,"3",10,"50",10,"54",10,"5",10,"6",10,"467",10,"329",10,"4",13,"0",10,"554",10,"438",10,"2",10,"68",10,"7",10,"104",10,"11",10,"796",10,"4",10,"992"
"100663","4","3",10,"564",10,"310",10,"177",10,"702",10,"7",10,"17",10,"60",10,"86",10,"21",10,"39",10,"1199",10,"2373",10,"21",10,"33",10,"2049",10,"3560",10,"874",10,"879",10,"24",10,"146",10,"60",10,"3572",10,"54",10,"5609"
"100690","1","999",13,"0",13,"0",10,"143",10,"165",13,"0",13,"0",10,"2",10,"8",10,"13",10,"10",10,"344",10,"251",10,"54",10,"37",10,"556",10,"471",13,"0",10,"308",13,"0",10,"10",10,"23",10,"595",10,"91",10,"1027"
"100690","2","1",13,"0",13,"0",10,"64",10,"76",13,"0",13,"0",10,"1",10,"3",10,"10",10,"10",10,"179",10,"141",10,"34",10,"20",10,"288",10,"250",13,"0",10,"140",13,"0",10,"4",10,"20",10,"320",10,"54",10,"538"
"100690","3","2",13,"0",13,"0",10,"32",10,"14",13,"0",13,"0",10,"1",13,"0",13,"0",13,"0",10,"39",10,"6",10,"6",10,"2",10,"78",10,"22",13,"0",10,"46",13,"0",10,"1",13,"0",10,"45",10,"8",10,"100"
"100690","4","3",13,"0",13,"0",10,"47",10,"75",13,"0",13,"0",13,"0",10,"5",10,"3",13,"0",10,"126",10,"104",10,"14",10,"15",10,"190",10,"199",13,"0",10,"122",13,"0",10,"5",10,"3",10,"230",10,"29",10,"389"
"100706","1","999",10,"371",10,"161",10,"375",10,"748",10,"49",10,"58",10,"168",10,"141",10,"71",10,"82",10,"3322",10,"2787",10,"19",10,"14",10,"4375",10,"3991",10,"532",10,"1123",10,"107",10,"309",10,"153",10,"6109",10,"33",10,"8366"
"100706","2","1",10,"147",10,"60",10,"330",10,"664",10,"45",10,"50",10,"129",10,"122",10,"58",10,"72",10,"2570",10,"2308",10,"11",10,"12",10,"3290",10,"3288",10,"207",10,"994",10,"95",10,"251",10,"130",10,"4878",10,"23",10,"6578"
"100706","4","3",10,"224",10,"101",10,"45",10,"84",10,"4",10,"8",10,"39",10,"19",10,"13",10,"10",10,"752",10,"479",10,"8",10,"2",10,"1085",10,"703",10,"325",10,"129",10,"12",10,"58",10,"23",10,"1231",10,"10",10,"1788"
"100724","1","999",10,"4",10,"15",10,"2386",10,"3871",10,"2",10,"3",10,"4",10,"4",10,"9",10,"15",10,"193",10,"326",10,"23",10,"40",10,"2621",10,"4274",10,"19",10,"6257",10,"5",10,"8",10,"24",10,"519",10,"63",10,"6895"
"100724","2","1",10,"3",10,"12",10,"2099",10,"3053",10,"1",10,"2",10,"4",10,"2",10,"8",10,"12",10,"94",10,"111",10,"14",10,"24",10,"2223",10,"3216",10,"15",10,"5152",10,"3",10,"6",10,"20",10,"205",10,"38",10,"5439"
"100724","4","3",10,"1",10,"3",10,"287",10,"818",10,"1",10,"1",13,"0",10,"2",10,"1",10,"3",10,"99",10,"215",10,"9",10,"16",10,"398",10,"1058",10,"4",10,"1105",10,"2",10,"2",10,"4",10,"314",10,"25",10,"1456"
"100751","1","999",10,"585",10,"557",10,"1105",10,"1907",10,"75",10,"85",10,"118",10,"132",10,"128",10,"164",10,"9112",10,"10039",10,"16",10,"22",10,"11139",10,"12906",10,"1142",10,"3012",10,"160",10,"250",10,"292",10,"19151",10,"38",10,"24045"
"100751","2","1",10,"195",10,"290",10,"943",10,"1491",10,"56",10,"63",10,"92",10,"100",10,"102",10,"113",10,"7375",10,"7688",10,"16",10,"21",10,"8779",10,"9766",10,"485",10,"2434",10,"119",10,"192",10,"215",10,"15063",10,"37",10,"18545"
"100751","3","2",10,"5",10,"2",10,"18",10,"25",10,"7",10,"1",10,"6",10,"1",10,"2",10,"1",10,"345",10,"205",13,"0",13,"0",10,"383",10,"235",10,"7",10,"43",10,"8",10,"7",10,"3",10,"550",13,"0",10,"618"
"100751","4","3",10,"385",10,"265",10,"144",10,"391",10,"12",10,"21",10,"20",10,"31",10,"24",10,"50",10,"1392",10,"2146",13,"0",10,"1",10,"1977",10,"2905",10,"650",10,"535",10,"33",10,"51",10,"74",10,"3538",10,"1",10,"4882"
"100760","1","999",13,"0",13,"0",10,"149",10,"592",10,"4",10,"11",10,"4",10,"3",10,"8",10,"8",10,"738",10,"1365",10,"5",10,"2",10,"908",10,"1981",13,"0",10,"741",10,"15",10,"7",10,"16",10,"2103",10,"7",10,"2889"
"100760","2","1",13,"0",13,"0",10,"149",10,"592",10,"4",10,"11",10,"4",10,"3",10,"8",10,"8",10,"738",10,"1365",10,"5",10,"2",10,"908",10,"1981",13,"0",10,"741",10,"15",10,"7",10,"16",10,"2103",10,"7",10,"2889"
"100812","1","999",13,"0",13,"0",10,"139",10,"285",10,"28",10,"61",10,"5",10,"16",10,"14",10,"14",10,"944",10,"1964",10,"21",10,"33",10,"1151",10,"2373",13,"0",10,"424",10,"89",10,"21",10,"28",10,"2908",10,"54",10,"3524"
"100812","2","1",13,"0",13,"0",10,"139",10,"285",10,"28",10,"61",10,"5",10,"16",10,"14",10,"14",10,"944",10,"1964",10,"21",10,"33",10,"1151",10,"2373",13,"0",10,"424",10,"89",10,"21",10,"28",10,"2908",10,"54",10,"3524"
"100830","1","999",10,"32",10,"46",10,"628",10,"1816",10,"15",10,"23",10,"65",10,"94",10,"37",10,"48",10,"1702",10,"2472",10,"31",10,"40",10,"2510",10,"4539",10,"78",10,"2444",10,"38",10,"159",10,"85",10,"4174",10,"71",10,"7049"
"100830","2","1",10,"29",10,"44",10,"514",10,"1429",10,"14",10,"18",10,"52",10,"79",10,"30",10,"39",10,"1440",10,"1999",10,"29",10,"36",10,"2108",10,"3644",10,"73",10,"1943",10,"32",10,"131",10,"69",10,"3439",10,"65",10,"5752"
"100830","4","3",10,"3",10,"2",10,"114",10,"387",10,"1",10,"5",10,"13",10,"15",10,"7",10,"9",10,"262",10,"473",10,"2",10,"4",10,"402",10,"895",10,"5",10,"501",10,"6",10,"28",10,"16",10,"735",10,"6",10,"1297"
"100858","1","999",10,"616",10,"347",10,"884",10,"1086",10,"78",10,"49",10,"203",10,"198",10,"178",10,"178",10,"10658",10,"10073",10,"180",10,"139",10,"12797",10,"12070",10,"963",10,"1970",10,"127",10,"401",10,"356",10,"20731",10,"319",10,"24867"
