UNITID,EFFYLEV,LSTUDY,XFYRAC01,FYRACE01,XFYRAC02,FYRACE02,XFYRAC03,FYRACE03,XFYRAC04,FYRACE04,XFYRAC05,FYRACE05,XFYRAC06,FYRACE06,XFYRAC07,FYRACE07,XFYRAC08,FYRACE08,XFYRAC09,FYRACE09,XFYRAC10,FYRACE10,XFYRAC11,FYRACE11,XFYRAC12,FYRACE12,XFYRAC13,FYRACE13,XFYRAC14,FYRACE14,XFYRAC15,FYRACE15,XFYRAC16,FYRACE16,XFYRAC17,FYRACE17,XFYRAC18,FYRACE18,XFYRAC19,FYRACE19,XFYRAC20,FYRACE20,XFYRAC21,FYRACE21,XFYRAC22,FYRACE22,XFYRAC23,FYRACE23,XFYRAC24,FYRACE24
445559,2,  1,"Z",0,"Z",0,"R",24,"R",82,"R",1,"R",1,"Z",0,"Z",0,"R",2,"R",1,"R",291,"R",135,"R",7,"R",9,"R",325,"R",228,"Z",0,"R",106,"R",2,"Z",0,"R",3,"R",426,"R",16,"R",553
445577,1,999,"Z",0,"Z",0,"R",59,"R",134,"R",1,"R",3,"R",25,"R",44,"R",59,"R",107,"R",206,"R",214,"R",21,"R",31,"R",371,"R",533,"Z",0,"R",193,"R",4,"R",69,"R",166,"R",420,"R",52,"R",904
445577,2,  1,"Z",0,"Z",0,"R",59,"R",134,"R",1,"R",3,"R",25,"R",44,"R",59,"R",107,"R",206,"R",214,"R",21,"R",31,"R",371,"R",533,"Z",0,"R",193,"R",4,"R",69,"R",166,"R",420,"R",52,"R",904
445586,1,999,"Z",0,"Z",0,"R",75,"R",416,"R",1,"Z",0,"R",9,"R",8,"R",35,"R",104,"R",41,"R",56,"R",1,"R",11,"R",162,"R",595,"Z",0,"R",491,"R",1,"R",17,"R",139,"R",97,"R",12,"R",757
445586,2,  1,"Z",0,"Z",0,"R",75,"R",416,"R",1,"Z",0,"R",9,"R",8,"R",35,"R",104,"R",41,"R",56,"R",1,"R",11,"R",162,"R",595,"Z",0,"R",491,"R",1,"R",17,"R",139,"R",97,"R",12,"R",757
445595,1,999,"Z",0,"Z",0,"R",98,"R",268,"Z",0,"R",1,"R",10,"R",10,"R",18,"R",32,"R",17,"R",37,"R",3,"R",9,"R",146,"R",357,"Z",0,"R",366,"R",1,"R",20,"R",50,"R",54,"R",12,"R",503
445595,2,  1,"Z",0,"Z",0,"R",98,"R",268,"Z",0,"R",1,"R",10,"R",10,"R",18,"R",32,"R",17,"R",37,"R",3,"R",9,"R",146,"R",357,"Z",0,"R",366,"R",1,"R",20,"R",50,"R",54,"R",12,"R",503
445601,1,999,"Z",0,"Z",0,"R",249,"R",1376,"Z",0,"R",3,"R",3,"R",9,"R",2,"R",16,"R",63,"R",375,"R",21,"R",47,"R",338,"R",1826,"Z",0,"R",1625,"R",3,"R",12,"R",18,"R",438,"R",68,"R",2164
445601,2,  1,"Z",0,"Z",0,"R",249,"R",1376,"Z",0,"R",3,"R",3,"R",9,"R",2,"R",16,"R",63,"R",375,"R",21,"R",47,"R",338,"R",1826,"Z",0,"R",1625,"R",3,"R",12,"R",18,"R",438,"R",68,"R",2164
445610,1,999,"Z",0,"Z",0,"R",61,"R",360,"Z",0,"R",8,"R",5,"R",6,"R",7,"R",42,"R",60,"R",314,"R",2,"R",10,"R",135,"R",740,"Z",0,"R",421,"R",8,"R",11,"R",49,"R",374,"R",12,"R",875
445610,2,  1,"Z",0,"Z",0,"R",61,"R",360,"Z",0,"R",8,"R",5,"R",6,"R",7,"R",42,"R",60,"R",314,"R",2,"R",10,"R",135,"R",740,"Z",0,"R",421,"R",8,"R",11,"R",49,"R",374,"R",12,"R",875
445629,1,999,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",16,"R",156,"Z",0,"R",3,"R",16,"R",162,"Z",0,"R",2,"Z",0,"Z",0,"R",1,"R",172,"R",3,"R",178
445629,2,  1,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",16,"R",156,"Z",0,"R",3,"R",16,"R",162,"Z",0,"R",2,"Z",0,"Z",0,"R",1,"R",172,"R",3,"R",178
445638,1,999,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",4,"R",68,"R",1,"R",4,"R",5,"R",74,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",72,"R",5,"R",79
445638,2,  1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",4,"R",68,"R",1,"R",4,"R",5,"R",74,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",72,"R",5,"R",79
445647,1,999,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"R",5,"R",1,"R",4,"R",9,"R",110,"Z",0,"Z",0,"R",10,"R",124,"Z",0,"R",5,"Z",0,"R",5,"R",5,"R",119,"Z",0,"R",134
445647,2,  1,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"R",5,"R",1,"R",4,"R",9,"R",110,"Z",0,"Z",0,"R",10,"R",124,"Z",0,"R",5,"Z",0,"R",5,"R",5,"R",119,"Z",0,"R",134
445656,1,999,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",9,"R",80,"Z",0,"Z",0,"R",10,"R",83,"Z",0,"R",3,"Z",0,"R",1,"Z",0,"R",89,"Z",0,"R",93
445656,2,  1,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",9,"R",80,"Z",0,"Z",0,"R",10,"R",83,"Z",0,"R",3,"Z",0,"R",1,"Z",0,"R",89,"Z",0,"R",93
445665,1,999,"Z",0,"Z",0,"R",10,"R",131,"Z",0,"R",1,"Z",0,"R",2,"R",9,"R",142,"R",3,"R",64,"Z",0,"R",10,"R",22,"R",350,"Z",0,"R",141,"R",1,"R",2,"R",151,"R",67,"R",10,"R",372
445665,2,  1,"Z",0,"Z",0,"R",10,"R",131,"Z",0,"R",1,"Z",0,"R",2,"R",9,"R",142,"R",3,"R",64,"Z",0,"R",10,"R",22,"R",350,"Z",0,"R",141,"R",1,"R",2,"R",151,"R",67,"R",10,"R",372
445674,1,999,"R",2,"Z",0,"R",53,"R",22,"R",2,"R",3,"R",2,"R",1,"R",7,"R",4,"R",401,"R",379,"R",4,"R",3,"R",471,"R",412,"R",2,"R",75,"R",5,"R",3,"R",11,"R",780,"R",7,"R",883
445674,2,  1,"R",2,"Z",0,"R",53,"R",22,"R",2,"R",3,"R",2,"R",1,"R",7,"R",4,"R",401,"R",379,"R",4,"R",3,"R",471,"R",412,"R",2,"R",75,"R",5,"R",3,"R",11,"R",780,"R",7,"R",883
445683,1,999,"Z",0,"R",1,"R",3,"R",82,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",3,"Z",0,"R",16,"Z",0,"Z",0,"R",3,"R",103,"R",1,"R",85,"Z",0,"R",1,"R",3,"R",16,"Z",0,"R",106
445683,2,  1,"Z",0,"R",1,"R",3,"R",82,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",3,"Z",0,"R",16,"Z",0,"Z",0,"R",3,"R",103,"R",1,"R",85,"Z",0,"R",1,"R",3,"R",16,"Z",0,"R",106
445692,1,999,"R",4,"R",3,"R",3,"R",1,"R",3,"R",1,"R",19,"R",4,"R",12,"R",2,"R",314,"R",22,"R",19,"R",2,"R",374,"R",35,"R",7,"R",4,"R",4,"R",23,"R",14,"R",336,"R",21,"R",409
