UNITID,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW
100654,1,999,"R",6388,"R",2892,"R",3496,"R",6,"R",4,"R",2,"R",19,"R",6,"R",13,"R",5870,"R",2665,"R",3205,"R",20,"R",11,"R",9,"R",4,"R",1,"R",3,"R",340,"R",127,"R",213,"R",0,"R",0,"R",0,"R",24,"R",12,"R",12,"R",105,"R",66,"R",39
100654,2,  1,"R",5295,"R",2533,"R",2762,"R",4,"R",2,"R",2,"R",6,"R",1,"R",5,"R",5073,"R",2414,"R",2659,"R",18,"R",11,"R",7,"R",3,"R",1,"R",2,"R",122,"R",67,"R",55,"R",0,"R",0,"R",0,"R",23,"R",12,"R",11,"R",46,"R",25,"R",21
100654,4,  3,"R",1093,"R",359,"R",734,"R",2,"R",2,"R",0,"R",13,"R",5,"R",8,"R",797,"R",251,"R",546,"R",2,"R",0,"R",2,"R",1,"R",0,"R",1,"R",218,"R",60,"R",158,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",59,"R",41,"R",18
100663,1,999,"R",20647,"R",8110,"R",12537,"R",66,"R",23,"R",43,"R",829,"R",355,"R",474,"R",4510,"R",1251,"R",3259,"R",397,"R",135,"R",262,"R",10,"R",5,"R",5,"R",13303,"R",5593,"R",7710,"R",225,"R",91,"R",134,"R",601,"R",270,"R",331,"R",706,"R",387,"R",319
100663,2,  1,"R",13004,"R",5384,"R",7620,"R",40,"R",15,"R",25,"R",496,"R",229,"R",267,"R",3466,"R",1032,"R",2434,"R",262,"R",92,"R",170,"R",10,"R",5,"R",5,"R",7889,"R",3620,"R",4269,"R",163,"R",70,"R",93,"R",434,"R",201,"R",233,"R",244,"R",120,"R",124
100663,4,  3,"R",7643,"R",2726,"R",4917,"R",26,"R",8,"R",18,"R",333,"R",126,"R",207,"R",1044,"R",219,"R",825,"R",135,"R",43,"R",92,"R",0,"R",0,"R",0,"R",5414,"R",1973,"R",3441,"R",62,"R",21,"R",41,"R",167,"R",69,"R",98,"R",462,"R",267,"R",195
100690,1,999,"R",1062,"R",512,"R",550,"R",3,"R",1,"R",2,"R",6,"R",2,"R",4,"R",390,"R",147,"R",243,"R",22,"R",13,"R",9,"Z",0,"Z",0,"Z",0,"R",381,"R",246,"R",135,"Z",0,"Z",0,"Z",0,"R",260,"R",103,"R",157,"Z",0,"Z",0,"Z",0
100690,2,  1,"R",508,"R",258,"R",250,"R",2,"R",1,"R",1,"R",3,"Z",0,"R",3,"R",165,"R",61,"R",104,"R",11,"R",7,"R",4,"Z",0,"Z",0,"Z",0,"R",177,"R",120,"R",57,"Z",0,"Z",0,"Z",0,"R",150,"R",69,"R",81,"Z",0,"Z",0,"Z",0
100690,4,  3,"R",554,"R",254,"R",300,"R",1,"Z",0,"R",1,"R",3,"R",2,"R",1,"R",225,"R",86,"R",139,"R",11,"R",6,"R",5,"Z",0,"Z",0,"Z",0,"R",204,"R",126,"R",78,"Z",0,"Z",0,"Z",0,"R",110,"R",34,"R",76,"Z",0,"Z",0,"Z",0
100706,1,999,"R",8976,"R",4885,"R",4091,"R",115,"R",63,"R",52,"R",309,"R",156,"R",153,"R",1192,"R",451,"R",741,"R",206,"R",95,"R",111,"R",1,"R",1,"R",0,"R",6396,"R",3676,"R",2720,"R",106,"R",55,"R",51,"R",205,"R",96,"R",109,"R",446,"R",292,"R",154
100706,2,  1,"R",6984,"R",3680,"R",3304,"R",92,"R",52,"R",40,"R",242,"R",117,"R",125,"R",1041,"R",387,"R",654,"R",185,"R",83,"R",102,"R",1,"R",1,"R",0,"R",4940,"R",2778,"R",2162,"R",101,"R",54,"R",47,"R",162,"R",69,"R",93,"R",220,"R",139,"R",81
100706,4,  3,"R",1992,"R",1205,"R",787,"R",23,"R",11,"R",12,"R",67,"R",39,"R",28,"R",151,"R",64,"R",87,"R",21,"R",12,"R",9,"R",0,"R",0,"R",0,"R",1456,"R",898,"R",558,"R",5,"R",1,"R",4,"R",43,"R",27,"R",16,"R",226,"R",153,"R",73
100724,1,999,"R",6517,"R",2614,"R",3903,"R",3,"R",3,"R",0,"R",10,"R",2,"R",8,"R",6080,"R",2437,"R",3643,"R",26,"R",10,"R",16,"R",3,"R",0,"R",3,"R",199,"R",76,"R",123,"R",5,"R",3,"R",2,"R",150,"R",66,"R",84,"R",41,"R",17,"R",24
100724,2,  1,"R",5548,"R",2331,"R",3217,"R",2,"R",2,"R",0,"R",1,"R",0,"R",1,"R",5277,"R",2212,"R",3065,"R",20,"R",8,"R",12,"R",3,"R",0,"R",3,"R",69,"R",28,"R",41,"R",5,"R",3,"R",2,"R",145,"R",65,"R",80,"R",26,"R",13,"R",13
100724,4,  3,"R",969,"R",283,"R",686,"R",1,"R",1,"R",0,"R",9,"R",2,"R",7,"R",803,"R",225,"R",578,"R",6,"R",2,"R",4,"R",0,"R",0,"R",0,"R",130,"R",48,"R",82,"R",0,"R",0,"R",0,"R",5,"R",1,"R",4,"R",15,"R",4,"R",11
100751,1,999,"R",33681,"R",15605,"R",18076,"R",181,"R",85,"R",96,"R",403,"R",213,"R",190,"R",4289,"R",1546,"R",2743,"R",837,"R",384,"R",453,"R",12,"R",8,"R",4,"R",26302,"R",12489,"R",13813,"R",250,"R",105,"R",145,"R",128,"R",59,"R",69,"R",1279,"R",716,"R",563
100751,2,  1,"R",27175,"R",12961,"R",14214,"R",148,"R",76,"R",72,"R",300,"R",163,"R",137,"R",3422,"R",1349,"R",2073,"R",645,"R",317,"R",328,"R",10,"R",7,"R",3,"R",21605,"R",10517,"R",11088,"R",174,"R",79,"R",95,"R",94,"R",41,"R",53,"R",777,"R",412,"R",365
100751,4,  3,"R",6506,"R",2644,"R",3862,"R",33,"R",9,"R",24,"R",103,"R",50,"R",53,"R",867,"R",197,"R",670,"R",192,"R",67,"R",125,"R",2,"R",1,"R",1,"R",4697,"R",1972,"R",2725,"R",76,"R",26,"R",50,"R",34,"R",18,"R",16,"R",502,"R",304,"R",198
