unitid,effylev,lstudy,"xfyrac01",fyrace01,"xfyrac02",fyrace02,"xfyrac03",fyrace03,"xfyrac04",fyrace04,"xfyrac05",fyrace05,"xfyrac06",fyrace06,"xfyrac07",fyrace07,"xfyrac08",fyrace08,"xfyrac09",fyrace09,"xfyrac10",fyrace10,"xfyrac11",fyrace11,"xfyrac12",fyrace12,"xfyrac13",fyrace13,"xfyrac14",fyrace14,"xfyrac15",fyrace15,"xfyrac16",fyrace16,"xfyrac17",fyrace17,"xfyrac18",fyrace18,"xfyrac19",fyrace19,"xfyrac20",fyrace20,"xfyrac21",fyrace21,"xfyrac22",fyrace22,"xfyrac23",fyrace23,"xfyrac24",fyrace24
"100654","1","999",10,"191",10,"159",10,"2641",10,"3285",10,"7",10,"6",10,"13",10,"13",10,"8",10,"16",10,"222",10,"546",10,"3",10,"2",10,"3085",10,"4027",10,"350",10,"5926",10,"13",10,"26",10,"24",10,"768",10,"5",10,"7112"
"100654","2","1",10,"122",10,"107",10,"2369",10,"2585",10,"6",10,"3",10,"7",10,"7",10,"6",10,"10",10,"101",10,"120",10,"2",10,"2",10,"2613",10,"2834",10,"229",10,"4954",10,"9",10,"14",10,"16",10,"221",10,"4",10,"5447"
"100654","4","3",10,"69",10,"52",10,"272",10,"700",10,"1",10,"3",10,"6",10,"6",10,"2",10,"6",10,"121",10,"426",10,"1",10,"0",10,"472",10,"1193",10,"121",10,"972",10,"4",10,"12",10,"8",10,"547",10,"1",10,"1665"
"100663","1","999",10,"782",10,"439",10,"1362",10,"3513",10,"39",10,"41",10,"294",10,"343",10,"73",10,"119",10,"5242",10,"6876",10,"194",10,"211",10,"7986",10,"11542",10,"1221",10,"4875",10,"80",10,"637",10,"192",10,"12118",10,"405",10,"19528"
"100663","2","1",10,"269",10,"183",10,"1163",10,"2802",10,"29",10,"22",10,"165",10,"199",10,"56",10,"89",10,"3557",10,"4269",10,"151",10,"175",10,"5390",10,"7739",10,"452",10,"3965",10,"51",10,"364",10,"145",10,"7826",10,"326",10,"13129"
"100663","3","2",10,"8",10,"1",10,"24",10,"41",10,"5",10,"4",10,"60",10,"61",10,"7",10,"5",10,"472",10,"313",10,"2",10,"0",10,"578",10,"425",10,"9",10,"65",10,"9",10,"121",10,"12",10,"785",10,"2",10,"1003"
"100663","4","3",10,"505",10,"255",10,"175",10,"670",10,"5",10,"15",10,"69",10,"83",10,"10",10,"25",10,"1213",10,"2294",10,"41",10,"36",10,"2018",10,"3378",10,"760",10,"845",10,"20",10,"152",10,"35",10,"3507",10,"77",10,"5396"
"100690","1","999",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"460",10,"337",10,"460",10,"337",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"797",10,"797"
"100690","2","1",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"219",10,"192",10,"219",10,"192",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"411",10,"411"
"100690","3","2",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"53",10,"22",10,"53",10,"22",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"75",10,"75"
"100690","4","3",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"188",10,"123",10,"188",10,"123",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"311",10,"311"
"100706","1","999",10,"453",10,"217",10,"351",10,"654",10,"66",10,"56",10,"179",10,"141",10,"68",10,"78",10,"3205",10,"2762",10,"115",10,"109",10,"4437",10,"4017",10,"670",10,"1005",10,"122",10,"320",10,"146",10,"5967",10,"224",10,"8454"
