UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XSATWR25,SATWR25,XSATWR75,SATWR75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75,XACTWR25,ACTWR25,XACTWR75,ACTWR75 
140720,1,3,1,2,1,3,1,2,3,"R",3790,"R",1372,"R",2418,"R",1161,"R",389,"R",772,"R",131,"R",53,"R",78,"R",125,"R",52,"R",73,"R",6,"R",1,"R",5,"R",68,"R",52,"R",86,"R",66,"R",330,"R",420,"R",310,"R",410,"R",320,"R",430,"R",14,"R",17,"R",11,"R",16,"R",15,"R",17,"R",5,"R",12
140818,1,2,1,2,2,3,1,1,3,"R",1135,"R",424,"R",711,"R",647,"R",251,"R",396,"R",281,"R",111,"R",170,"R",278,"R",110,"R",168,"R",3,"R",1,"R",2,"R",217,"R",78,"R",153,"R",54,"R",430,"R",550,"R",440,"R",550,"A",,"A",,"R",19,"R",24,"R",18,"R",24,"R",18,"R",24,"A",,"A",
140827,3,3,3,3,3,1,3,2,3,"R",7,"R",3,"R",4,"R",7,"R",3,"R",4,"R",7,"R",3,"R",4,"R",7,"R",3,"R",4,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
140872,1,2,1,2,2,3,1,3,3,"R",1158,"R",616,"R",542,"R",1051,"R",548,"R",503,"R",293,"R",183,"R",110,"R",288,"R",181,"R",107,"R",5,"R",2,"R",3,"R",187,"R",64,"R",186,"R",64,"R",430,"R",530,"R",430,"R",520,"R",420,"R",510,"R",18,"R",22,"R",16,"R",22,"R",16,"R",22,"A",,"A",
140951,1,2,1,2,2,2,1,1,3,"R",9841,"R",2721,"R",7120,"R",6880,"R",1829,"R",5051,"R",2048,"R",629,"R",1419,"R",1934,"R",585,"R",1349,"R",114,"R",44,"R",70,"R",1185,"R",58,"R",893,"R",44,"R",480,"R",600,"R",460,"R",580,"R",460,"R",590,"R",20,"R",26,"R",20,"R",28,"R",18,"R",25,"R",6,"R",8
140960,1,3,1,1,3,3,1,1,3,"R",2950,"R",1185,"R",1765,"R",2438,"R",953,"R",1485,"R",1186,"R",512,"R",674,"R",1126,"R",483,"R",643,"R",60,"R",29,"R",31,"R",755,"R",64,"R",732,"R",62,"R",390,"R",460,"R",380,"R",460,"A",,"A",,"R",16,"R",19,"R",15,"R",19,"R",16,"R",18,"A",,"A",
140988,1,2,1,2,2,3,1,2,3,"R",1622,"R",751,"R",871,"R",1020,"R",459,"R",561,"R",262,"R",121,"R",141,"R",259,"R",121,"R",138,"R",3,"R",0,"R",3,"R",153,"R",58,"R",171,"R",65,"R",400,"R",530,"R",430,"R",530,"R",410,"R",530,"R",18,"R",24,"R",16,"R",23,"R",17,"R",22,"A",,"A",
141060,1,2,1,1,1,3,1,1,3,"R",5051,"Z",0,"R",5051,"R",2441,"A",,"R",2441,"R",566,"A",,"R",566,"R",564,"A",,"R",564,"R",2,"A",,"R",2,"R",381,"R",67,"R",339,"R",60,"R",470,"R",570,"R",450,"R",550,"A",,"A",,"R",20,"R",23,"R",20,"R",25,"R",18,"R",24,"A",,"A",
141167,1,3,1,2,2,3,2,1,1,"R",361,"R",187,"R",174,"R",156,"R",97,"R",59,"R",117,"R",72,"R",45,"R",110,"R",67,"R",43,"R",7,"R",5,"R",2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
141185,1,2,1,2,1,3,1,1,3,"R",759,"R",315,"R",444,"R",345,"R",161,"R",184,"R",150,"R",66,"R",84,"R",139,"R",59,"R",80,"R",11,"R",7,"R",4,"R",90,"R",60,"R",60,"R",40,"R",440,"R",570,"R",420,"R",520,"A",,"A",,"R",18,"R",26,"R",16,"R",26,"R",17,"R",23,"A",,"A",
