UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL9,LEVEL10,LEVEL11,LEVEL12,OPENADMP,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,APPDATE,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,SATACTDT,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XSATWR25,SATWR25,XSATWR75,SATWR75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75,CREDITS1,CREDITS2,CREDITS3,CREDITS4,SLO3,SLO5,SLO51,SLO52,SLO53,SLO6,SLO7,SLO8,SLO81,SLO82,SLO83,SLO9,YRSCOLL,STUSRV1,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBFAC,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4,PCTPOST,CALSYS,XAPPFEEU,APPLFEEU,XAPPFEEG,APPLFEEG,XAPPFEEP,APPLFEEP,FT_UG,FT_FTUG,FT_GD,FT_FP,PT_UG,PT_FTUG,PT_GD,PT_FP,TUITVARY,ROOM,XROOMCAP,ROOMCAP,BOARD,XMEALSWK,MEALSWK,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,ALLONCAM,XENRLM,ENRLM,XENRLW,ENRLW,XENRLT,ENRLT,XAPPLCN,APPLCN,XADMSSN,ADMSSN,XENRLFT,ENRLFT,XENRLPT,ENRLPT  
100830,0,1,1,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,0,0,0,1,2,2,2,3,3,3,3,1,1,3,2,"R",441,"R",769,"R",410,"R",700,"R",202,"R",333,"R",49,"R",82,2,"R",0,"A",.,"R",570,"R",86,"A",.,"A",.,"A",.,"A",.,"B",.,"B",.,"R",18,"R",22,"R",18,"R",23,"R",16,"R",21,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,-2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,2,-2,1,334,1,334,2,-2,-2,1,"R",25,"R",25,"A",.,1,1,1,2,1,1,1,2,1,1,"R",673,3,"A",.,"R",3200,"A",.,"A",.,2,"R",251,"R",415,"R",666,"R",1210,"R",1110,"R",535,"R",131
100858,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,1,1,0,0,2,1,2,1,2,2,3,1,1,3,2,"R",7943,"R",9745,"R",5379,"R",6821,"R",1952,"R",2208,"R",16,"R",15,2,"R",1074,"R",26,"R",3117,"R",74,"R",500,"R",610,"R",520,"R",630,"B",.,"B",.,"R",22,"R",27,"R",22,"R",28,"R",21,"R",27,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,-2,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,130,1,130,1,130,1,130,-2,1,"R",25,"R",25,"R",25,1,1,1,1,1,1,1,1,1,1,"R",2780,2,"A",.,"R",3380,"R",4086,"A",.,2,"R",1968,"R",2223,"R",4191,"R",17688,"R",12200,"R",4160,"R",31
100937,0,1,0,0,0,0,4,-2,-2,71,0,0,0,0,1,0,1,0,0,0,0,0,2,1,3,1,2,1,3,1,1,3,2,"R",1041,"R",1241,"R",722,"R",783,"R",266,"R",184,"B",.,"B",.,2,"R",207,"R",46,"R",386,"R",86,"R",520,"R",640,"R",530,"R",650,"B",.,"B",.,"R",23,"R",28,"R",22,"R",30,"R",21,"R",27,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,-2,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,198,1,198,1,198,1,198,-2,4,"R",25,"R",25,"A",.,1,1,1,2,1,1,1,2,2,1,"R",1429,2,"A",.,"R",4633,"R",3640,"A",.,2,"R",266,"R",184,"R",450,"R",2282,"R",1505,"R",450,"B",.
101028,1,1,-2,0,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",0,"A",.,"A",.,1,1,2,-2,1,1,2,-2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
101073,0,1,0,0,0,0,4,-2,-2,68,0,0,1,0,1,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,0,0,0,1,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",10,"A",.,"A",.,1,1,2,2,1,1,2,2,2,1,"R",350,1,"R",21,"R",1200,"R",2000,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
101116,0,1,0,0,0,0,2,-2,-2,-2,0,0,1,0,1,0,1,0,0,0,0,0,2,3,3,1,3,3,3,2,1,1,1,"R",23,"R",69,"R",21,"R",62,"R",11,"R",42,"R",5,"R",13,3,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"B",.,"B",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,2,"R",25,"R",50,"A",.,1,1,1,2,1,1,1,2,2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"R",16,"R",55,"R",71,"R",92,"R",83,"R",53,"R",18
101143,1,1,-2,1,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,1,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"Z",0,"A",.,"A",.,1,1,2,-2,1,1,2,-2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
101161,1,1,-2,0,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,1,1,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",0,"A",.,"A",.,1,1,2,-2,1,1,2,-2,1,1,"R",320,1,"R",15,"A",.,"A",.,"R",4050,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
101189,0,1,0,0,0,0,4,-2,-2,74,0,0,1,0,1,0,1,0,0,1,0,0,2,2,2,1,2,2,2,1,1,4,2,"R",611,"R",371,"R",364,"R",215,"R",182,"R",97,"R",0,"R",0,2,"R",85,"R",21,"R",358,"R",89,"B",.,"B",.,"R",430,"R",570,"R",440,"R",560,"R",18,"R",24,"R",18,"R",26,"R",17,"R",24,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,-2,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,315,1,334,1,334,2,-2,-2,1,"R",10,"R",50,"R",25,1,1,1,1,1,1,1,1,2,1,"R",609,1,"R",20,"R",2750,"R",3050,"A",.,2,"R",182,"R",97,"R",279,"R",982,"R",579,"R",279,"R",0
101231,1,0,-2,0,0,0,2,-2,-2,-2,1,0,0,0,-2,-2,-2,-2,-2,-2,-2,0,2,3,3,3,3,3,3,3,3,1,1,"R",0,"R",22,"R",0,"R",20,"R",0,"R",15,"R",0,"R",0,3,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"B",.,"B",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,1,1,1,0,0,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,"R",35,"A",.,"A",.,1,1,-2,-2,2,2,-2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"R",0,"R",15,"R",15,"R",22,"R",20,"R",15,"R",0
