UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 
100654,1,2,1,2,3,2,1,1,3,"R",7043,"R",2725,"R",4318,"R",6154,"R",2276,"R",3878,"R",1568,"R",652,"R",916,"R",1536,"R",639,"R",897,"R",32,"R",13,"R",19,"R",217,"R",14,"R",1433,"R",91,"R",380,"R",470,"R",370,"R",470,"R",16,"R",19,"R",14,"R",20,"R",15,"R",18
100663,1,3,1,1,3,3,1,3,3,"R",9459,"R",3510,"R",5949,"R",5499,"R",2062,"R",3437,"R",2021,"R",758,"R",1263,"R",1948,"R",730,"R",1218,"R",73,"R",28,"R",45,"R",85,"R",4,"R",1849,"R",92,"R",480,"R",640,"R",490,"R",660,"R",21,"R",28,"R",22,"R",30,"R",19,"R",26
100706,1,2,1,1,3,2,1,1,3,"R",4545,"R",2385,"R",2160,"R",3467,"R",1930,"R",1537,"R",1213,"R",735,"R",478,"R",1203,"R",731,"R",472,"R",10,"R",4,"R",6,"R",166,"R",14,"R",1152,"R",95,"R",520,"R",660,"R",540,"R",680,"R",25,"R",31,"R",24,"R",33,"R",23,"R",29
100724,1,3,2,3,3,3,1,1,3,"R",9053,"R",2967,"R",6086,"R",4155,"R",1293,"R",2862,"R",1172,"R",434,"R",738,"R",1152,"R",428,"R",724,"R",20,"R",6,"R",14,"R",178,"R",15,"R",1042,"R",89,"R",370,"R",460,"R",360,"R",460,"R",15,"R",19,"R",14,"R",19,"R",15,"R",17
100751,1,2,1,1,3,3,1,1,3,"R",38237,"R",14846,"R",23391,"R",20107,"R",7819,"R",12288,"R",7559,"R",3255,"R",4304,"R",7541,"R",3246,"R",4295,"R",18,"R",9,"R",9,"R",1459,"R",19,"R",6062,"R",80,"R",490,"R",610,"R",490,"R",620,"R",23,"R",31,"R",23,"R",33,"R",22,"R",29
100830,1,2,1,3,3,3,1,1,3,"R",2905,"R",1021,"R",1884,"R",2225,"R",786,"R",1439,"R",594,"R",226,"R",368,"R",558,"R",212,"R",346,"R",36,"R",14,"R",22,"R",11,"R",2,"R",547,"R",92,"R",435,"R",495,"R",445,"R",495,"R",19,"R",24,"R",19,"R",24,"R",17,"R",22
100858,1,2,1,1,2,3,1,1,3,"R",18256,"R",7886,"R",10370,"R",14704,"R",6314,"R",8390,"R",4529,"R",2147,"R",2382,"R",4487,"R",2129,"R",2358,"R",42,"R",18,"R",24,"R",552,"R",12,"R",3930,"R",87,"R",530,"R",620,"R",530,"R",640,"R",24,"R",30,"R",25,"R",32,"R",23,"R",28
100937,1,1,1,3,1,3,1,1,3,"R",3722,"R",1525,"R",2197,"R",1801,"R",818,"R",983,"R",328,"R",166,"R",162,"R",328,"R",166,"R",162,"A",,"A",,"A",,"R",69,"R",21,"R",297,"R",91,"R",500,"R",610,"R",490,"R",570,"R",23,"R",28,"R",22,"R",29,"R",22,"R",26
101073,1,2,1,3,2,3,2,1,3,"R",639,"R",278,"R",361,"R",151,"R",87,"R",64,"R",102,"R",64,"R",38,"R",83,"R",53,"R",30,"R",19,"R",11,"R",8,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101189,1,2,1,3,2,3,1,2,3,"R",2446,"R",980,"R",1466,"R",1110,"R",474,"R",636,"R",312,"R",168,"R",144,"R",297,"R",160,"R",137,"R",15,"R",8,"R",7,"R",18,"R",6,"R",263,"R",94,"R",430,"R",570,"R",450,"R",550,"R",18,"R",23,"R",16,"R",24,"R",16,"R",22
101365,3,3,1,3,3,3,2,2,1,"R",79,"R",29,"R",50,"R",77,"R",29,"R",48,"R",65,"R",26,"R",39,"R",10,"R",2,"R",8,"R",55,"R",24,"R",31,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101435,1,2,1,2,2,2,1,2,3,"R",1716,"R",1053,"R",663,"R",974,"R",575,"R",399,"R",277,"R",171,"R",106,"R",277,"R",171,"R",106,"R",0,"R",0,"R",0,"R",43,"R",16,"R",263,"R",95,"R",420,"R",525,"R",425,"R",525,"R",19,"R",24,"R",18,"R",24,"R",17,"R",23
101453,3,3,1,3,1,3,1,1,3,"R",3,"R",2,"R",1,"R",1,"R",1,"R",0,"R",1,"R",1,"A",,"R",1,"R",1,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"R",1,"R",100,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101480,1,3,1,3,3,3,1,1,3,"R",4979,"R",2151,"R",2828,"R",2643,"R",1162,"R",1481,"R",1320,"R",593,"R",727,"R",1294,"R",583,"R",711,"R",26,"R",10,"R",16,"R",145,"R",11,"R",1229,"R",93,"R",430,"R",570,"R",440,"R",550,"R",20,"R",26,"R",20,"R",28,"R",18,"R",25
101541,1,2,1,2,2,3,1,1,3,"R",417,"Z",0,"R",417,"R",240,"A",,"R",240,"R",86,"A",,"R",86,"R",69,"A",,"R",69,"R",17,"A",,"R",17,"R",3,"R",3,"R",85,"R",99,"R",580,"R",581,"R",530,"R",531,"R",19,"R",24,"R",18,"R",25,"R",16,"R",23
101587,2,3,1,2,3,3,1,1,3,"R",1032,"R",470,"R",562,"R",548,"R",258,"R",290,"R",377,"R",176,"R",201,"R",373,"R",172,"R",201,"R",4,"R",4,"R",0,"R",12,"R",3,"R",366,"R",97,"R",440,"R",520,"R",420,"R",500,"R",18,"R",23,"R",17,"R",23,"R",16,"R",22
101648,1,3,1,1,3,3,1,1,3,"R",849,"R",632,"R",217,"R",546,"R",428,"R",118,"R",275,"R",212,"R",63,"R",275,"R",212,"R",63,"A",,"A",,"A",,"R",121,"R",44,"R",230,"R",84,"R",480,"R",600,"R",500,"R",610,"R",19,"R",26,"R",19,"R",26,"R",17,"R",26
101693,1,2,1,2,3,3,1,1,3,"R",935,"R",296,"R",639,"R",579,"R",196,"R",383,"R",224,"R",91,"R",133,"R",220,"R",89,"R",131,"R",4,"R",2,"R",2,"R",6,"R",3,"R",218,"R",97,"R",430,"R",540,"R",420,"R",580,"R",19,"R",25,"R",18,"R",25,"R",17,"R",23
101709,1,2,1,2,3,3,1,1,3,"R",2334,"R",685,"R",1649,"R",1527,"R",452,"R",1075,"R",477,"R",165,"R",312,"R",473,"R",165,"R",308,"R",4,"R",0,"R",4,"R",12,"R",2,"R",465,"R",98,"R",440,"R",620,"R",460,"R",580,"R",20,"R",26,"R",21,"R",28,"R",18,"R",25
101879,1,3,1,2,3,3,1,1,3,"R",4408,"R",1695,"R",2713,"R",2457,"R",966,"R",1491,"R",1196,"R",457,"R",739,"R",1177,"R",448,"R",729,"R",19,"R",9,"R",10,"R",34,"R",3,"R",1166,"R",97,"R",427,"R",523,"R",435,"R",530,"R",19,"R",25,"R",19,"R",26,"R",17,"R",24
101912,1,3,1,2,2,3,1,2,3,"R",2177,"R",830,"R",1347,"R",1053,"R",401,"R",652,"R",391,"R",161,"R",230,"R",391,"R",161,"R",230,"A",,"A",,"A",,"R",187,"R",48,"R",260,"R",66,"R",390,"R",520,"R",360,"R",490,"R",16,"R",21,"R",15,"R",22,"R",15,"R",21
102049,1,3,1,5,1,5,1,2,2,"R",3446,"R",1140,"R",2306,"R",3149,"R",1033,"R",2116,"R",916,"R",297,"R",619,"R",916,"R",297,"R",619,"R",0,"R",0,"R",0,"R",302,"R",33,"R",794,"R",86,"R",520,"R",620,"R",500,"R",618,"R",23,"R",29,"R",24,"R",31,"R",21,"R",27
102094,1,3,1,3,3,3,1,1,3,"R",6180,"R",2796,"R",3384,"R",4975,"R",2144,"R",2831,"R",1997,"R",937,"R",1060,"R",1956,"R",907,"R",1049,"R",41,"R",30,"R",11,"R",138,"R",7,"R",1732,"R",87,"R",470,"R",560,"R",450,"R",570,"R",20,"R",23,"R",21,"R",28,"R",18,"R",26
102234,1,2,1,2,1,3,1,1,3,"R",8534,"R",2845,"R",5689,"R",3715,"R",1262,"R",2453,"R",392,"R",137,"R",255,"R",392,"R",137,"R",255,"R",0,"R",0,"R",0,"R",55,"R",14,"R",368,"R",94,"R",500,"R",600,"R",500,"R",590,"R",22,"R",27,"R",22,"R",29,"R",20,"R",25
102261,1,3,1,2,1,3,1,1,3,"R",18,"R",12,"R",6,"R",18,"R",12,"R",6,"R",15,"R",10,"R",5,"R",13,"R",8,"R",5,"R",2,"R",2,"R",0,"R",0,"R",0,"R",11,"R",73,"A",,"A",,"A",,"A",,"R",18,"R",23,"R",15,"R",23,"R",15,"R",19
102270,1,2,1,2,3,3,1,1,3,"R",4325,"R",1414,"R",2911,"R",1813,"R",552,"R",1261,"R",150,"R",58,"R",92,"R",142,"R",55,"R",87,"R",8,"R",3,"R",5,"R",11,"R",8,"R",137,"R",92,"R",350,"R",460,"R",390,"R",450,"R",14,"R",17,"R",13,"R",19,"R",14,"R",16
102368,1,3,1,2,3,3,1,1,2,"R",5952,"R",2505,"R",3447,"R",5431,"R",2281,"R",3150,"R",1960,"R",830,"R",1130,"R",1727,"R",751,"R",976,"R",233,"R",79,"R",154,"R",61,"R",3,"R",1396,"R",71,"R",455,"R",550,"R",470,"R",610,"R",18,"R",24,"R",17,"R",25,"R",16,"R",23
102377,1,2,1,2,2,2,1,1,3,"R",10342,"R",3606,"R",6736,"R",5170,"R",1704,"R",3466,"R",652,"R",222,"R",429,"R",651,"R",221,"R",429,"R",1,"R",1,"R",0,"R",329,"R",51,"R",602,"R",92,"R",440,"R",560,"R",450,"R",550,"R",21,"R",22,"R",18,"R",22,"R",18,"R",22
102553,5,5,1,2,3,3,2,1,5,"R",3626,"R",1543,"R",2083,"R",3004,"R",1266,"R",1738,"R",1744,"R",776,"R",968,"R",1279,"R",596,"R",683,"R",465,"R",180,"R",285,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
102614,1,3,3,3,3,3,1,1,3,"R",1557,"R",750,"R",807,"R",1144,"R",557,"R",587,"R",775,"R",392,"R",383,"R",620,"R",324,"R",296,"R",155,"R",68,"R",87,"R",296,"R",35,"R",447,"R",53,"R",480,"R",600,"R",470,"R",600,"R",19,"R",26,"R",17,"R",25,"R",18,"R",26
102632,1,3,1,2,3,2,2,1,3,"R",384,"R",136,"R",248,"R",188,"R",73,"R",115,"R",162,"R",59,"R",103,"R",118,"R",47,"R",71,"R",44,"R",12,"R",32,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
102669,1,2,1,2,2,2,2,1,3,"R",474,"R",141,"R",333,"R",261,"R",89,"R",172,"R",41,"R",15,"R",26,"R",39,"R",13,"R",26,"R",2,"R",2,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
103893,3,3,1,3,3,3,3,3,1,"R",213,"R",30,"R",183,"R",180,"R",27,"R",153,"R",101,"R",15,"R",86,"R",101,"R",15,"R",86,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
103909,3,3,1,3,3,3,3,3,1,"R",213,"R",48,"R",165,"R",94,"R",15,"R",79,"R",68,"R",11,"R",57,"R",68,"R",11,"R",57,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
103927,3,3,1,3,3,3,3,3,1,"R",123,"R",25,"R",98,"R",83,"R",16,"R",67,"R",54,"R",8,"R",46,"R",54,"R",8,"R",46,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
104151,2,2,1,2,3,3,1,1,2,"R",24764,"R",13514,"R",11250,"R",20431,"R",10961,"R",9470,"R",8230,"R",4569,"R",3661,"R",8185,"R",4540,"R",3645,"R",45,"R",29,"R",16,"R",4357,"R",53,"R",5011,"R",61,"R",500,"R",630,"R",520,"R",650,"R",22,"R",28,"R",22,"R",28,"R",23,"R",28
104179,2,2,1,2,3,2,2,1,3,"R",36166,"R",16474,"R",19692,"R",28433,"R",12759,"R",15674,"R",7753,"R",3509,"R",4244,"R",5997,"R",2722,"R",3275,"R",1756,"R",787,"R",969,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
104586,2,2,1,1,1,3,2,1,3,"R",2130,"R",1579,"R",551,"R",1626,"R",1203,"R",423,"R",604,"R",443,"R",161,"R",599,"R",438,"R",161,"R",5,"R",5,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
104717,1,3,1,3,3,3,2,1,3,"R",34096,"R",8960,"R",16959,"R",19413,"R",6450,"R",11841,"R",3318,"R",1237,"R",2076,"R",2502,"R",1017,"R",1480,"R",816,"R",220,"R",596,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
105330,1,3,1,3,3,3,2,1,3,"R",36511,"R",14482,"R",22029,"R",28495,"R",10673,"R",17822,"R",5607,"R",2218,"R",3389,"R",5010,"R",1875,"R",3135,"R",597,"R",343,"R",254,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
105589,1,3,1,2,1,3,1,1,3,"R",314,"R",107,"R",207,"R",215,"R",77,"R",138,"R",47,"R",22,"R",25,"R",47,"R",22,"R",25,"A",,"A",,"A",,"R",23,"R",51,"R",19,"R",42,"R",480,"R",620,"R",440,"R",580,"R",21,"R",28,"R",20,"R",28,"R",19,"R",24
105899,1,3,1,3,1,3,1,1,3,"R",382,"R",231,"R",151,"R",226,"R",140,"R",86,"R",129,"R",80,"R",49,"R",129,"R",80,"R",49,"R",0,"R",0,"R",0,"R",74,"R",57,"R",68,"R",53,"R",410,"R",538,"R",450,"R",550,"R",18,"R",22,"R",15,"R",21,"R",17,"R",23
106245,1,3,1,2,3,3,1,1,3,"R",2035,"R",843,"R",1192,"R",1828,"R",757,"R",1071,"R",805,"R",332,"R",473,"R",768,"R",309,"R",459,"R",37,"R",23,"R",14,"R",15,"R",2,"R",714,"R",98,"R",420,"R",560,"R",470,"R",540,"R",19,"R",25,"R",19,"R",26,"R",18,"R",24
106342,1,2,1,2,2,2,1,1,3,"R",1421,"R",818,"R",603,"R",1054,"R",597,"R",457,"R",200,"R",122,"R",78,"R",200,"R",122,"R",78,"A",,"A",,"A",,"R",33,"R",17,"R",200,"R",100,"R",455,"R",540,"R",490,"R",580,"R",22,"R",26,"R",21,"R",27,"R",22,"R",26
106397,1,2,1,1,2,3,1,1,3,"R",21539,"R",9201,"R",12338,"R",13613,"R",5704,"R",7909,"R",4967,"R",2223,"R",2744,"R",4938,"R",2216,"R",2722,"R",29,"R",7,"R",22,"R",1238,"R",25,"R",4595,"R",93,"R",500,"R",600,"R",510,"R",620,"R",23,"R",29,"R",22,"R",27,"R",23,"R",30
106412,1,2,1,2,3,3,1,1,3,"R",6353,"R",2413,"R",3940,"R",2664,"R",945,"R",1719,"R",772,"R",303,"R",469,"R",763,"R",298,"R",465,"R",9,"R",5,"R",4,"R",54,"R",7,"R",718,"R",93,"R",423,"R",530,"R",415,"R",535,"R",16,"R",21,"R",15,"R",21,"R",16,"R",20
106458,1,2,1,2,3,3,1,1,3,"R",5655,"R",2531,"R",3124,"R",3981,"R",1746,"R",2235,"R",1644,"R",755,"R",889,"R",1609,"R",734,"R",875,"R",35,"R",21,"R",14,"R",20,"R",1,"R",1501,"R",91,"R",433,"R",585,"R",500,"R",620,"R",21,"R",26,"R",20,"R",26,"R",21,"R",27
106467,1,2,1,2,3,3,2,1,3,"R",5232,"R",2372,"R",2860,"R",3344,"R",1559,"R",1785,"R",1892,"R",913,"R",979,"R",1819,"R",883,"R",936,"R",73,"R",30,"R",43,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
106546,1,3,1,3,1,1,1,1,3,"R",23,"R",4,"R",19,"R",18,"R",4,"R",14,"R",12,"R",2,"R",10,"R",12,"R",2,"R",10,"A",,"A",,"A",,"R",0,"R",0,"R",12,"R",100,"A",,"A",,"A",,"A",,"R",18,"R",23,"R",16,"R",23,"R",17,"R",23
106704,1,2,1,3,3,3,1,1,1,"R",4922,"R",1894,"R",3028,"R",4419,"R",1643,"R",2776,"R",1880,"R",721,"R",1159,"R",1867,"R",716,"R",1151,"R",13,"R",5,"R",8,"R",50,"R",3,"R",1754,"R",93,"R",410,"R",520,"R",460,"R",540,"R",20,"R",27,"R",20,"R",27,"R",19,"R",26
106713,1,1,1,2,3,3,1,1,3,"R",318,"R",184,"R",134,"R",197,"R",114,"R",83,"R",126,"R",73,"R",53,"R",125,"R",72,"R",53,"R",1,"R",1,"R",0,"R",11,"R",9,"R",115,"R",91,"R",405,"R",470,"R",410,"R",495,"R",19,"R",25,"R",17,"R",25,"R",18,"R",24
107044,2,2,1,2,1,3,1,1,3,"R",2217,"R",970,"R",1247,"R",1556,"R",681,"R",875,"R",1019,"R",446,"R",573,"R",1013,"R",446,"R",567,"R",6,"R",0,"R",6,"R",272,"R",27,"R",902,"R",89,"R",500,"R",610,"R",480,"R",610,"R",22,"R",28,"R",22,"R",30,"R",20,"R",27
107071,1,1,1,3,3,3,1,1,3,"R",4072,"R",1635,"R",2437,"R",2692,"R",1085,"R",1607,"R",746,"R",332,"R",414,"R",740,"R",328,"R",412,"R",6,"R",4,"R",2,"R",33,"R",4,"R",712,"R",95,"R",438,"R",440,"R",580,"R",590,"R",19,"R",25,"R",18,"R",25,"R",18,"R",24
107080,1,2,1,1,1,3,1,1,3,"R",1830,"R",873,"R",957,"R",1411,"R",672,"R",739,"R",351,"R",172,"R",179,"R",351,"R",172,"R",179,"A",,"A",,"A",,"R",99,"R",28,"R",320,"R",91,"R",550,"R",690,"R",550,"R",670,"R",26,"R",32,"R",27,"R",34,"R",25,"R",31
107141,1,2,1,2,1,3,1,1,3,"R",1206,"R",415,"R",791,"R",930,"R",342,"R",588,"R",323,"R",126,"R",197,"R",323,"R",126,"R",197,"A",,"A",,"A",,"R",79,"R",24,"R",269,"R",83,"R",535,"R",645,"R",480,"R",600,"R",23,"R",29,"R",23,"R",31,"R",22,"R",27
107512,1,2,1,2,3,2,1,1,3,"R",1712,"R",745,"R",967,"R",1145,"R",497,"R",648,"R",396,"R",183,"R",213,"R",395,"R",182,"R",213,"R",1,"R",1,"R",0,"R",80,"R",20,"R",361,"R",91,"R",470,"R",610,"R",480,"R",590,"R",21,"R",28,"R",21,"R",30,"R",19,"R",26
107558,1,2,1,2,2,3,1,1,3,"R",895,"R",379,"R",516,"R",777,"R",317,"R",460,"R",189,"R",86,"R",103,"R",189,"R",86,"R",103,"R",0,"R",0,"R",0,"R",22,"R",12,"R",152,"R",80,"R",390,"R",500,"R",430,"R",530,"R",19,"R",24,"R",18,"R",24,"R",17,"R",24
107585,3,3,1,3,3,3,1,1,1,"R",1166,"R",500,"R",666,"R",900,"R",392,"R",508,"R",546,"R",245,"R",301,"R",436,"R",197,"R",239,"R",110,"R",48,"R",62,"R",2,"R",1,"R",383,"R",70,"R",370,"R",490,"R",390,"R",480,"R",18,"R",22,"R",17,"R",23,"R",17,"R",22
107877,1,1,1,2,3,3,1,1,3,"R",666,"R",315,"R",351,"R",403,"R",180,"R",223,"R",114,"R",63,"R",51,"R",113,"R",62,"R",51,"R",1,"R",1,"R",0,"R",5,"R",4,"R",104,"R",92,"B",,"B",,"B",,"B",,"R",18,"R",23,"R",17,"R",24,"R",17,"R",23
107983,2,2,1,2,3,3,1,1,3,"R",3460,"R",1490,"R",1970,"R",2392,"R",1031,"R",1361,"R",854,"R",422,"R",432,"R",846,"R",419,"R",427,"R",8,"R",3,"R",5,"R",25,"R",3,"R",829,"R",97,"R",400,"R",550,"R",430,"R",530,"R",18,"R",24,"R",17,"R",25,"R",17,"R",24
108852,5,5,5,3,1,1,3,3,3,"R",448,"R",168,"R",280,"R",345,"R",125,"R",220,"R",151,"R",56,"R",95,"R",151,"R",56,"R",95,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
109086,3,3,3,3,1,1,3,3,3,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
109651,2,3,1,2,5,1,2,1,3,"R",670,"R",228,"R",442,"R",464,"R",142,"R",322,"R",211,"R",74,"R",137,"R",211,"R",74,"R",137,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
109785,1,2,1,2,1,3,1,2,3,"R",8030,"R",2805,"R",5225,"R",4935,"R",1604,"R",3331,"R",1120,"R",363,"R",757,"R",1096,"R",351,"R",745,"R",24,"R",12,"R",12,"R",878,"R",78,"R",483,"R",43,"R",450,"R",560,"R",450,"R",570,"R",20,"R",26,"R",20,"R",27,"R",19,"R",26
110097,1,3,1,2,3,3,1,1,3,"R",4393,"R",1355,"R",3038,"R",2849,"R",860,"R",1989,"R",872,"R",307,"R",565,"R",863,"R",304,"R",559,"R",9,"R",3,"R",6,"R",643,"R",74,"R",390,"R",45,"R",480,"R",610,"R",470,"R",610,"R",21,"R",27,"R",21,"R",28,"R",20,"R",27
110361,1,2,1,2,1,3,1,2,3,"R",4971,"R",2030,"R",2941,"R",3181,"R",1080,"R",2101,"R",1146,"R",413,"R",733,"R",1117,"R",400,"R",717,"R",29,"R",13,"R",16,"R",905,"R",79,"R",527,"R",46,"R",430,"R",550,"R",420,"R",550,"R",19,"R",24,"R",18,"R",25,"R",18,"R",25
110370,1,3,1,2,1,1,3,1,3,"R",2361,"R",722,"R",1639,"R",1531,"R",419,"R",1112,"R",255,"R",84,"R",171,"R",255,"R",84,"R",171,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110404,2,2,1,1,1,3,1,1,3,"R",6855,"R",5063,"R",1792,"R",553,"R",276,"R",277,"R",235,"R",131,"R",104,"R",235,"R",131,"R",104,"A",,"A",,"A",,"R",191,"R",81,"R",111,"R",47,"R",740,"R",800,"R",770,"R",800,"R",34,"R",36,"R",34,"R",36,"R",35,"R",36
110413,1,2,1,1,1,3,1,1,3,"R",6013,"R",2444,"R",3569,"R",3860,"R",1503,"R",2357,"R",638,"R",264,"R",374,"R",638,"R",264,"R",374,"A",,"A",,"A",,"R",506,"R",79,"R",309,"R",48,"R",493,"R",590,"R",500,"R",610,"R",22,"R",27,"R",22,"R",28,"R",22,"R",27
110422,1,3,1,1,3,3,1,3,3,"R",48162,"R",25393,"R",22769,"R",14202,"R",6552,"R",7650,"R",4341,"R",2183,"R",2158,"R",4333,"R",2177,"R",2156,"R",8,"R",6,"R",2,"R",3091,"R",71,"R",3131,"R",72,"R",560,"R",660,"R",590,"R",700,"R",26,"R",31,"R",25,"R",33,"R",26,"R",32
110468,1,3,1,3,3,3,3,1,3,"R",49,"R",30,"R",19,"R",42,"R",25,"R",17,"R",10,"R",6,"R",4,"R",10,"R",6,"R",4,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110486,1,3,1,1,3,3,2,3,3,"R",8487,"R",3470,"R",5017,"R",5756,"R",2206,"R",3550,"R",1362,"R",511,"R",851,"R",1289,"R",475,"R",814,"R",73,"R",36,"R",37,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110495,1,3,1,1,3,3,2,3,3,"R",7618,"R",2749,"R",4869,"R",5663,"R",1845,"R",3818,"R",1389,"R",452,"R",937,"R",1330,"R",427,"R",903,"R",59,"R",25,"R",34,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110510,1,3,1,1,3,3,1,3,3,"R",15740,"R",5982,"R",9758,"R",9152,"R",3268,"R",5884,"R",2791,"R",1085,"R",1706,"R",2736,"R",1056,"R",1680,"R",55,"R",29,"R",26,"R",2679,"R",96,"R",1151,"R",41,"R",390,"R",490,"R",390,"R",490,"R",16,"R",20,"R",14,"R",19,"R",16,"R",20
110529,1,3,1,1,3,3,1,3,3,"R",32920,"R",17580,"R",15340,"R",19474,"R",9343,"R",10131,"R",4204,"R",2237,"R",1967,"R",4079,"R",2155,"R",1924,"R",125,"R",82,"R",43,"R",3745,"R",89,"R",1345,"R",32,"R",440,"R",560,"R",460,"R",600,"R",20,"R",27,"R",19,"R",26,"R",20,"R",28
110538,1,3,1,1,3,3,1,3,3,"R",23591,"R",9892,"R",13699,"R",15393,"R",6141,"R",9252,"R",2762,"R",1240,"R",1522,"R",2725,"R",1217,"R",1508,"R",37,"R",23,"R",14,"R",2439,"R",88,"R",1191,"R",43,"R",440,"R",550,"R",440,"R",550,"R",19,"R",24,"R",17,"R",24,"R",18,"R",24
110547,1,3,1,1,3,3,2,3,3,"R",16642,"R",6760,"R",9882,"R",7974,"R",2884,"R",5090,"R",1299,"R",490,"R",809,"R",1257,"R",472,"R",785,"R",42,"R",18,"R",24,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110556,1,3,1,1,3,3,1,3,3,"R",18735,"R",7910,"R",10825,"R",10031,"R",3813,"R",6218,"R",3302,"R",1329,"R",1973,"R",3208,"R",1281,"R",1927,"R",94,"R",48,"R",46,"R",3082,"R",93,"R",1419,"R",43,"R",400,"R",500,"R",400,"R",510,"R",16,"R",22,"R",15,"R",22,"R",16,"R",22
110565,1,3,1,1,3,3,1,3,3,"R",44493,"R",18578,"R",25915,"R",21459,"R",8250,"R",13209,"R",4426,"R",1832,"R",2594,"R",4274,"R",1764,"R",2510,"R",152,"R",68,"R",84,"R",3971,"R",90,"R",1770,"R",40,"R",450,"R",550,"R",470,"R",570,"R",19,"R",24,"R",18,"R",24,"R",18,"R",25
110574,1,3,1,1,3,3,2,3,3,"R",15670,"R",5945,"R",9725,"R",10930,"R",3891,"R",7039,"R",1596,"R",588,"R",1008,"R",1584,"R",581,"R",1003,"R",12,"R",7,"R",5,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110583,1,3,1,1,3,3,1,3,3,"R",61808,"R",25294,"R",36514,"R",19711,"R",7600,"R",12111,"R",4253,"R",1728,"R",2525,"R",4143,"R",1658,"R",2485,"R",110,"R",70,"R",40,"R",3869,"R",91,"R",1646,"R",39,"R",460,"R",570,"R",470,"R",590,"R",20,"R",26,"R",19,"R",26,"R",19,"R",27
