UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 
195289,2,3,1,3,3,3,3,1,1,"R",4,"R",1,"R",3,"R",3,"R",1,"R",2,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
195304,1,2,1,5,1,5,5,1,3,"R",3068,"R",745,"R",2323,"R",1589,"R",419,"R",1170,"R",377,"R",118,"R",259,"R",377,"R",118,"R",259,"A",,"A",,"A",,"R",176,"R",47,"R",104,"R",28,"R",620,"R",720,"R",550,"R",680,"R",27,"R",31,"R",28,"R",33,"R",23,"R",29
195438,3,3,3,3,1,2,3,3,3,"R",10,"R",10,"Z",0,"R",3,"R",3,"A",,"R",2,"R",2,"A",,"R",2,"R",2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
195474,2,2,1,2,1,3,2,1,3,"R",8037,"R",3364,"R",4673,"R",5836,"R",2399,"R",3437,"R",764,"R",347,"R",417,"R",764,"R",347,"R",417,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
195526,2,2,1,1,1,3,5,1,3,"R",9181,"R",3392,"R",5789,"R",2670,"R",1022,"R",1648,"R",714,"R",295,"R",419,"R",714,"R",295,"R",419,"A",,"A",,"A",,"R",486,"R",68,"R",298,"R",42,"R",560,"R",670,"R",560,"R",660,"R",26,"R",30,"R",26,"R",32,"R",24,"R",29
195544,1,2,1,1,2,3,1,1,3,"R",3673,"R",1170,"R",2503,"R",2453,"R",746,"R",1707,"R",629,"R",222,"R",407,"R",616,"R",220,"R",396,"R",13,"R",2,"R",11,"R",523,"R",83,"R",187,"R",30,"R",450,"R",550,"R",450,"R",560,"R",20,"R",25,"R",19,"R",24,"R",17,"R",24
195702,1,3,1,3,1,3,2,3,3,"R",190,"R",24,"R",166,"R",133,"R",13,"R",120,"R",99,"R",9,"R",90,"R",37,"R",6,"R",31,"R",62,"R",3,"R",59,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
195720,1,2,1,2,1,3,1,1,3,"R",4551,"R",1902,"R",2649,"R",2937,"R",1212,"R",1725,"R",576,"R",240,"R",336,"R",576,"R",240,"R",336,"R",0,"R",0,"R",0,"R",514,"R",89,"R",300,"R",52,"R",480,"R",560,"R",490,"R",590,"R",22,"R",26,"R",20,"R",25,"R",21,"R",26
195809,1,5,5,1,5,5,1,1,3,"R",28590,"R",11681,"R",16909,"R",18115,"R",7338,"R",10777,"R",3248,"R",1853,"R",1395,"R",3236,"R",1849,"R",1387,"R",12,"R",4,"R",8,"R",2562,"R",79,"R",627,"R",19,"R",480,"R",580,"R",490,"R",600,"R",22,"R",28,"A",,"A",,"A",,"A",
196006,1,3,1,3,2,2,1,1,3,"R",5073,"R",3144,"R",1929,"R",3652,"R",2368,"R",1284,"R",1176,"R",835,"R",341,"R",1162,"R",831,"R",331,"R",14,"R",4,"R",10,"R",758,"R",63,"R",232,"R",20,"R",410,"R",520,"R",420,"R",540,"R",19,"R",24,"R",16,"R",23,"R",19,"R",26
