UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XSATWR25,SATWR25,XSATWR75,SATWR75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75,XACTWR25,ACTWR25,XACTWR75,ACTWR75 
100654,1,2,1,2,3,2,1,1,3,"R",9901,"R",3852,"R",6049,"R",5204,"R",1977,"R",3227,"R",1207,"R",562,"R",645,"R",1194,"R",554,"R",640,"R",13,"R",8,"R",5,"R",134,"R",11,"R",1100,"R",91,"R",377,"R",470,"R",370,"R",470,"R",370,"R",470,"R",15,"R",19,"R",14,"R",19,"R",15,"R",18,"A",,"A",
100663,1,3,1,1,3,3,1,3,3,"R",5710,"R",2293,"R",3417,"R",4893,"R",2004,"R",2889,"R",1748,"R",747,"R",1001,"R",1719,"R",733,"R",986,"R",29,"R",14,"R",15,"R",92,"R",5,"R",1628,"R",93,"R",500,"R",640,"R",490,"R",640,"A",,"A",,"R",21,"R",27,"R",21,"R",29,"R",19,"R",26,"A",,"A",
100706,1,2,1,1,3,2,1,1,3,"R",2104,"R",1165,"R",939,"R",1726,"R",981,"R",745,"R",724,"R",445,"R",279,"R",714,"R",437,"R",277,"R",10,"R",8,"R",2,"R",111,"R",15,"R",690,"R",95,"R",520,"R",670,"R",530,"R",650,"A",,"A",,"R",24,"R",30,"R",24,"R",31,"R",23,"R",28,"A",,"A",
100724,1,3,2,3,3,3,1,1,3,"R",7673,"R",2776,"R",4897,"R",4087,"R",1388,"R",2699,"R",1091,"R",399,"R",692,"R",1072,"R",389,"R",683,"R",19,"R",10,"R",9,"R",272,"R",25,"R",906,"R",83,"R",380,"R",470,"R",380,"R",480,"A",,"A",,"R",16,"R",19,"R",14,"R",19,"R",15,"R",18,"A",,"A",
100751,1,2,1,1,3,3,1,1,3,"R",33736,"R",13467,"R",20269,"R",17221,"R",6952,"R",10269,"R",6824,"R",2936,"R",3888,"R",6794,"R",2921,"R",3873,"R",30,"R",15,"R",15,"R",1590,"R",23,"R",5208,"R",76,"R",490,"R",620,"R",500,"R",630,"R",480,"R",600,"R",22,"R",31,"R",23,"R",32,"R",21,"R",29,"R",6,"R",8
100830,1,2,1,3,3,3,1,1,3,"R",2123,"R",671,"R",1452,"R",1702,"R",550,"R",1152,"R",613,"R",211,"R",402,"R",558,"R",193,"R",365,"R",55,"R",18,"R",37,"R",24,"R",4,"R",539,"R",88,"R",433,"R",538,"R",468,"R",550,"A",,"A",,"R",19,"R",24,"R",19,"R",24,"R",17,"R",22,"A",,"A",
100858,1,2,1,1,2,3,1,1,3,"R",16958,"R",7551,"R",9407,"R",14154,"R",6255,"R",7899,"R",4592,"R",2241,"R",2351,"R",4552,"R",2217,"R",2335,"R",40,"R",24,"R",16,"R",763,"R",17,"R",3828,"R",83,"R",520,"R",630,"R",530,"R",645,"R",520,"R",610,"R",24,"R",30,"R",24,"R",32,"R",23,"R",28,"R",6,"R",8
100937,1,1,1,3,1,3,1,1,3,"R",2770,"R",1235,"R",1535,"R",1479,"R",732,"R",747,"R",382,"R",211,"R",171,"R",382,"R",211,"R",171,"A",,"A",,"A",,"R",116,"R",33,"R",300,"R",85,"R",500,"R",620,"R",500,"R",620,"A",,"A",,"R",24,"R",29,"R",23,"R",32,"R",23,"R",28,"A",,"A",
101073,1,2,1,3,2,3,1,1,3,"R",137,"R",111,"R",26,"R",73,"R",52,"R",21,"R",48,"R",34,"R",14,"R",46,"R",34,"R",12,"R",2,"R",0,"R",2,"R",5,"R",10,"R",45,"R",94,"R",320,"R",520,"R",200,"R",600,"A",,"A",,"R",11,"R",31,"R",10,"R",31,"R",10,"R",25,"A",,"A",
101365,3,3,1,3,3,3,2,2,1,"R",77,"R",47,"R",30,"R",77,"R",47,"R",30,"R",70,"R",45,"R",25,"R",26,"R",7,"R",19,"R",44,"R",38,"R",6,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
