UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL12,LEVEL17,LEVEL18,LEVEL19,OPENADMP,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,APPDATE,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,SATACTDT,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XSATWR25,SATWR25,XSATWR75,SATWR75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75,XACTWR25,ACTWR25,XACTWR75,ACTWR75,CREDITS1,CREDITS2,CREDITS3,CREDITS4,SLO3,SLO5,SLO51,SLO52,SLO53,SLO6,SLO7,SLO8,SLO81,SLO82,SLO83,SLO9,YRSCOLL,STUSRV1,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBFAC,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4,CALSYS,XAPPFEEU,APPLFEEU,XAPPFEEG,APPLFEEG,FT_UG,FT_FTUG,FT_GD,PT_UG,PT_FTUG,PT_GD,TUITVARY,ROOM,XROOMCAP,ROOMCAP,BOARD,XMEALSWK,MEALSWK,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,ALLONCAM,XENRLM,ENRLM,XENRLW,ENRLW,XENRLT,ENRLT,XAPPLCN,APPLCN,XADMSSN,ADMSSN,XENRLFT,ENRLFT,XENRLPT,ENRLPT,TUITPL,TUITPL1,TUITPL2,TUITPL3,TUITPL4,DISAB,XDISABPC,DISABPCT
160649,1,1,-2,0,1,0,1,2,0,-2,0,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,1,1,0,0,1,1,0,0,1,0,0,0,2,-2,1,342,2,-2,2,-2,1,"R",5,"A",.,1,1,2,1,1,2,1,1,"R",240,2,"A",.,"R",7320,"R",2668,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,1,"A",.
160658,0,1,1,1,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,0,1,0,0,2,1,2,1,1,3,3,1,1,3,2,"R",3477,"R",4949,"R",2322,"R",3313,"R",1286,"R",1629,"R",16,"R",24,2,"R",152,"R",5,"R",2820,"R",95,"B",.,"B",.,"B",.,"B",.,"B",.,"B",.,"R",20,"R",24,"R",20,"R",25,"R",18,"R",24,"B",.,"B",.,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,134,1,134,1,134,1,134,1,"R",25,"R",25,1,1,1,1,1,1,1,1,"R",1942,1,"R",15,"A",.,"A",.,"R",4758,2,"R",1302,"R",1653,"R",2955,"R",8426,"R",5635,"R",2915,"R",40,1,0,0,1,0,2,"R",4
160667,1,1,-2,0,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,0,1,0,0,3,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"R",5,"A",.,1,1,2,1,1,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,2,0,0,0,0,1,"A",.
160685,1,1,-2,0,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,1,1,0,1,0,0,3,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"R",15,"A",.,1,1,2,1,1,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,2,0,0,0,0,1,"A",.
160755,0,1,1,0,0,0,3,-2,-2,-2,0,0,1,0,1,1,1,0,0,1,1,0,2,1,2,1,2,1,2,1,1,3,2,"R",19364,"R",24451,"R",4748,"R",6636,"R",626,"R",999,"Z",0,"Z",0,2,"R",827,"R",51,"R",798,"R",49,"R",610,"R",700,"R",620,"R",700,"R",620,"R",710,"R",29,"R",32,"R",29,"R",34,"R",27,"R",32,"B",.,"B",.,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,-2,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,111,1,111,1,111,1,111,1,"R",0,"R",45,1,1,1,1,2,1,2,1,"R",3400,2,"A",.,"R",5672,"R",4050,"A",.,1,"R",626,"R",999,"R",1625,"R",43815,"R",11384,"R",1625,"Z",0,1,0,1,1,0,2,"R",7
160904,0,1,0,0,0,0,4,-2,-2,30,0,0,0,0,1,0,1,0,0,0,1,0,2,2,2,1,2,1,3,1,1,3,2,"R",881,"R",2516,"R",569,"R",1768,"R",224,"R",552,"R",2,"R",1,2,"R",265,"R",34,"R",638,"R",82,"R",430,"R",530,"R",420,"R",530,"R",410,"R",530,"R",18,"R",23,"R",17,"R",23,"R",18,"R",24,"B",.,"B",.,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,2,-2,1,337,2,-2,1,337,1,"R",25,"R",30,1,1,1,1,1,1,2,1,"R",1692,1,"R",19,"A",.,"A",.,"R",7200,2,"R",226,"R",553,"R",779,"R",3397,"R",2337,"R",776,"R",3,1,0,0,1,0,1,"A",.
160913,1,1,-2,0,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,0,1,0,0,3,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"R",5,"A",.,1,1,2,1,1,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,2,0,0,0,0,1,"A",.
160940,1,1,-2,0,0,0,2,-2,-2,-2,0,0,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,5,"R",0,"A",.,1,1,-2,1,1,-2,2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,2,"R",4
160959,0,1,0,0,0,0,3,-2,-2,-2,0,0,0,0,1,0,1,0,0,0,0,0,2,2,2,1,2,1,3,3,2,3,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,3,"R",45,"R",45,1,1,1,1,1,1,2,1,"R",150,1,"R",15,"R",5400,"R",2850,"A",.,1,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,1,"A",.
160968,0,1,1,0,0,0,4,-2,-2,76,0,0,0,1,0,0,1,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"R",40,"R",40,1,2,1,1,2,1,2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,1,"A",.
